중소벤처기업연구원 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,," 1: 공공누리 1유형, 2: 공공누리 2유형, 3:공공누리 3유형, 4:공공누리4유형",,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,작성일/출판일/발행년도,연구책임자/작성자/발행기관,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고,비고
34,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제33호(2014.6.30),,2014,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
35,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제34호(2014.7.14),,2014,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
36,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제35호(2014.7.28),,2014,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
37,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제36호(2014.8.11),,2014,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
38,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제37호(2014.8.25),,2014,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
39,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제38호(2014.9.15),,2014,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
40,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제39호(2014.9.30),,2014,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
41,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제40호(2014.10.14),,2014,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
42,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제41호(2014.11.10),,2014,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
43,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제42호(2014.11.24),,2014,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
