[국회도서관] 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판명,게시물 제목,pdf페이지,발행년,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
64,국회전자도서관,소장자료,국회기록사진첩_vol1_064.jpg,37,1945.8-1952.8,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
65,국회전자도서관,소장자료,국회기록사진첩_vol1_065.jpg,37,1945.8-1952.8,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
66,국회전자도서관,소장자료,국회기록사진첩_vol1_066.jpg,38,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
67,국회전자도서관,소장자료,국회기록사진첩_vol1_067.jpg,38,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
68,국회전자도서관,소장자료,국회기록사진첩_vol1_068.jpg,39,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
69,국회전자도서관,소장자료,국회기록사진첩_vol1_069.jpg,39,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
70,국회전자도서관,소장자료,국회기록사진첩_vol1_070.jpg,40,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
71,국회전자도서관,소장자료,국회기록사진첩_vol1_071.jpg,40,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
72,국회전자도서관,소장자료,국회기록사진첩_vol1_072.jpg,41,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
73,국회전자도서관,소장자료,국회기록사진첩_vol1_073.jpg,41,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
74,국회전자도서관,소장자료,국회기록사진첩_vol1_074.jpg,42,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
75,국회전자도서관,소장자료,국회기록사진첩_vol1_075.jpg,42,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
