대구광역시청 공공저작물 권리확인 요청 목록 (단순데이터),,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,등록일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
43,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2012년 1월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
44,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2012년 2월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
45,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2012년 3월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
46,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2012년 4월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
47,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2012년 5월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
48,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2012년 6월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
49,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2012년 7월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
50,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2012년 8월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
51,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2012년 9월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
52,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2012년 10월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
53,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2012년 11월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
54,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2012년 12월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
55,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2013년 1월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
56,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2013년 2월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
57,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2013년 3월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
58,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2013년 4월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
59,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2013년 5월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
60,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2013년 6월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
61,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2013년 7월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
62,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2013년 8월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
63,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2013년 9월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
64,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2013년 10월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
65,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2013년 11월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
66,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2013년 12월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
67,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2014년 1월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
68,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2014년 2월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
69,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,"2015년 5월,6월 업무추진비 집행내역(고산정수사업소)",2015-07-17 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
70,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2015년 7월 업무추진비 집행내역(토지정보과),2015-08-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
71,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2015년 상반기 업무추진비 집행내역(토지정보과),2015-08-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
