진주시청 공공저작물 권리확인 요청 목록 (대표홈페이지),,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
50,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,『제17회 진주시 세계인의 날 기념행사』안내,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39562910&amode=view&extParam=notice&cpage=5,2024-05-14,유,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
51,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,2024 진주국제농식품박람회 전시장 디자인 및 조성 용역 제안서 평가위원회 평가 결과 공개,https://www.jinju.go.kr/00130/02730/00136.web?gcode=4050&idx=39562908&amode=view&extParam=notice&cpage=5,2024-05-14,유,1유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
52,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,임신 출산 지원 프로그램  아기마중  참여자 모집,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39562907&amode=view&extParam=notice&cpage=5,2024-05-14,유,1유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
53,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,신안동 공동육아나눔터 - 나만의 특별한 키링 만들기,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39562898&amode=view&extParam=notice&cpage=5,2024-05-14,유,1유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
54,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,진주중앙지하도상가 점포 입점자 모집 공고,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39562866&amode=view&extParam=notice&cpage=5,2024-05-13,유,1유형,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
55,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,[진주시립이성자미술관] ≪또 하나의 별≫  전시 연계 성인 대상 도자 프로그램,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39562729&amode=view&extParam=notice&cpage=5,2024-05-09,유,2유형,,내부확인 필요,공공누리 2~4유형,,,,,O,,,외부이미지 포함(포스터),
56,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,『제17회 진주시 세계인의 날 기념행사』개최 홍보,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39562721&amode=view&extParam=notice&cpage=5,2024-05-09,유,4유형,,내부확인 필요,공공누리 2~4유형,,,,,,O,,행사 참가자 초상권 포함,
57,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,일호광장 진주역 기획전시《Nice to meet you - 만남의 광장》개최 안내,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39562720&amode=view&extParam=notice&cpage=6,2024-05-09,유,4유형,,내부확인 필요,공공누리 2~4유형,,,,,O,,,외부이미지 포함(포스터),
58,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,경남신용보증재단『2024년 함께가게 멘토링+ 플러스』 사업 안내,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39562716&amode=view&extParam=notice&cpage=6,2024-05-09,유,1유형,,내부확인 필요,공공누리 2~4유형,,,,O,,,,타기관 작성 자료,
59,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,막힌 빗물받이 집중 신고기간(5.1.~10.31.) 운영,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39562709&amode=view&extParam=notice&cpage=6,2024-05-09,유,4유형,,개방 가능,공공누리 1유형,,,O,,,,,국가저작물,
