한국문화예술교육진흥원 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
34,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,국립해양생물자원관,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011335,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
35,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,국립특수교육원 학술정보관,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011334,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
36,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,국립생태원 생태정보도서관,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011333,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
37,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,한라병원도서실(의료법인),https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011332,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
38,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,한국국제교류재단 정보자료실,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011331,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
39,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,제주환경운동연합 자료실,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011330,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
40,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,제주특별자치도교육청 자료관,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011329,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
41,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,한국전기안전공사 자료실,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011328,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
42,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,지방자치인재개발원 도서관,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011327,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
43,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,전주역사박물관 자료실,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011326,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
44,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,전북은행 도서실,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011325,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
45,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,전북발전연구원 자료실,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011324,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
46,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,전라북도인재개발원 도서실,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011323,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
47,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,전라북도교육청미래교육연구원 자료실,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011322,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
48,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,전라북도교육청 행정자료실,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011321,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
49,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,예수병원의학도서실,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011320,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
50,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,새만금 북카페,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011319,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
