[국회도서관] 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판명,게시물 제목,URL,발행년,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,생산기관
1996,국회기록보존소,국회연표,법사위 법무부 국정감사,,1990.11.25,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
1997,국회기록보존소,국회연표,재무위 한국담배인삼공사 국정감사,,1990.11.25,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
1998,국회기록보존소,국회연표,제152회 국회(임시회) 집회공고 사진,,1991.01.21,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
1999,국회기록보존소,국회연표,류준상 의원(평화민주당) 사진,,1991.01.21,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2000,국회기록보존소,국회연표,박정수 의원(민주자유당) 사진,,1991.01.21,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2001,국회기록보존소,국회연표,이진우 의원(민주자유당) 사진,,1991.01.23,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2002,국회기록보존소,국회연표,허경만 의원(평화민주당) 사진,,1991.01.23,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2003,국회기록보존소,국회연표,허탁 의원(무소속) 사진,,1991.01.23,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2004,국회기록보존소,국회연표,신경식 의원(민주자유당) 사진,,1991.01.24,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2005,국회기록보존소,국회연표,이교성 의원(평화민주당) 사진,,1991.01.24,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2006,국회기록보존소,국회연표,유기천 의원(민주자유당) 사진,,1991.01.24,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2007,국회기록보존소,국회연표,홍세기 의원(민주자유당) 사진,,1991.01.24,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2008,국회기록보존소,국회연표,이수인 의원(평화민주당) 사진,,1991.01.24,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2009,국회기록보존소,국회연표,김봉욱 의원(평화민주당) 사진,,1991.01.25,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2010,국회기록보존소,국회연표,강성모 의원(민주자유당) 사진,,1991.01.25,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2011,국회기록보존소,국회연표,허만기 의원(평화민주당) 사진,,1991.01.25,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2012,국회기록보존소,국회연표,박우병 의원(민주자유당) 사진,,1991.01.25,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2013,국회기록보존소,국회연표,김동규 의원(민주자유당) 사진,,1991.01.25,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2014,국회기록보존소,국회연표,김문원 의원(민주자유당) 사진,,1991.01.26,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2015,국회기록보존소,국회연표,김득수 의원(평화민주당) 사진,,1991.01.26,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2016,국회기록보존소,국회연표,정동호 의원(민주자유당) 사진,,1991.01.26,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2017,국회기록보존소,국회연표,이희천 의원(평화민주당) 사진,,1991.01.26,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2018,국회기록보존소,국회연표,유기준 의원(민주자유당) 사진,,1991.01.26,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2019,국회기록보존소,국회연표,이영권 의원(평화민주당) 사진,,1991.01.28,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2020,국회기록보존소,국회연표,함종환 의원(민주자유당) 사진,,1991.01.28,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2021,국회기록보존소,국회연표,박병선 의원(민주자유당) 사진,,1991.01.28,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2022,국회기록보존소,국회연표,조찬형 의원(평화민주당) 사진,,1991.01.28,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2023,국회기록보존소,국회연표,석준규 의원(민주자유당) 사진,,1991.01.28,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2024,국회기록보존소,국회연표,민주자유당 김영삼 국정에 관한 교섭단체 대표연설 사진,,1991.01.29,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2025,국회기록보존소,국회연표,평화민주당 김대중 국정에 관한 교섭단체 대표연설(계속)  사진,,1991.01.30,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2026,국회기록보존소,국회연표,Richard Von Weizsaecker 독일 대통령 일행(17인) 국회방문 사진,,1991.02.25,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
2027,국회기록보존소,국회연표,제153회 국회(임시회) 개회식 사진,,1991.03.07,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2028,국회기록보존소,국회연표,제154회 국회(임시회) 개회식 사진,,1991.04.19,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2029,국회기록보존소,국회연표,김용채 상임위원장 사진,,1991.04.20,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2030,국회기록보존소,국회연표,김종호 상임위원장 사진,,1991.04.20,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2031,국회기록보존소,국회연표,김종태 상임위원장 사진,,1991.04.20,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2032,국회기록보존소,국회연표,한광옥 의원(평화민주당) 사진,,1991.04.23,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2033,국회기록보존소,국회연표,신상우 의원(민주자유당) 사진,,1991.04.23,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2034,국회기록보존소,국회연표,장석화 의원(민주자유당) 사진,,1991.04.23,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2035,국회기록보존소,국회연표,유수호 의원(민주자유당) 사진,,1991.04.23,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2036,국회기록보존소,국회연표,박상천 의원(평화민주당) 사진,,1991.04.23,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2037,국회기록보존소,국회연표,권해옥 의원(민주자유당) 사진,,1991.04.23,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2038,국회기록보존소,국회연표,조홍규 의원(평화민주당) 사진,,1991.04.24,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2039,국회기록보존소,국회연표,지연태 의원(민주자유당) 사진,,1991.04.24,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2040,국회기록보존소,국회연표,황병태 의원(민주자유당) 사진,,1991.04.24,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2041,국회기록보존소,국회연표,박실 의원(평화민주당) 사진,,1991.04.24,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2042,국회기록보존소,국회연표,이광노 의원(민주자유당) 사진,,1991.04.24,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2043,국회기록보존소,국회연표,이성호 의원(민주자유당) 사진,,1991.04.25,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2044,국회기록보존소,국회연표,신기하 의원(평화민주당) 사진,,1991.04.25,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2045,국회기록보존소,국회연표,연제원 의원(민주자유당) 사진,,1991.04.25,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2046,국회기록보존소,국회연표,최봉구 의원(평화민주당) 사진,,1991.04.25,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2047,국회기록보존소,국회연표,임무웅 의원(민주자유당) 사진,,1991.04.25,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2048,국회기록보존소,국회연표,조영장 의원(민주자유당) 사진,,1991.04.26,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2049,국회기록보존소,국회연표,이철용 의원(평화민주당) 사진,,1991.04.26,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2050,국회기록보존소,국회연표,이해찬 의원(평화민주당) 사진,,1991.04.26,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2051,국회기록보존소,국회연표,이영문 의원(민주자유당) 사진,,1991.04.26,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2052,국회기록보존소,국회연표,이응선 의원(민주자유당) 사진,,1991.04.26,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2053,국회기록보존소,국회연표,김일윤 의원(민주자유당) 사진,,1991.04.27,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2054,국회기록보존소,국회연표,손주항 의원(평화민주당) 사진,,1991.04.27,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2055,국회기록보존소,국회연표,김장숙 의원(민주자유당) 사진,,1991.04.27,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2056,국회기록보존소,국회연표,최훈 의원(평화민주당) 사진,,1991.04.27,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2057,국회기록보존소,국회연표,김동인 의원(민주자유당) 사진,,1991.04.27,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2058,국회기록보존소,국회연표,국무총리 정원식 국정에 관한 보고 사진,,1991.07.08,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2059,국회기록보존소,국회연표,제155회 국회(임시회) 개회식 사진,,1991.07.08,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2060,국회기록보존소,국회연표,제156회 국회(정기회) 집회공고 사진,,1991.09.10,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2061,국회기록보존소,국회연표,민주자유당 김영삼 국정에 관한 교섭단체 대표연설 사진,,1991.10.07,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2062,국회기록보존소,국회연표,통일민주당 이기택 국정에 관한 교섭단체 대표연설 사진,,1991.10.08,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2063,국회기록보존소,국회연표,옥만호 의원(민주자유당) 사진,,1991.10.11,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2064,국회기록보존소,국회연표,최재욱 의원(민주자유당) 사진,,1991.10.11,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2065,국회기록보존소,국회연표,김현욱 의원(민주자유당) 사진,,1991.10.11,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2066,국회기록보존소,국회연표,김덕규 의원(민주당) 사진,,1991.10.11,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2067,국회기록보존소,국회연표,유기수 의원(민주자유당) 사진,,1991.10.12,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2068,국회기록보존소,국회연표,홍영기 의원(평화민주당) 사진,,1991.10.12,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2069,국회기록보존소,국회연표,노인환 의원(민주자유당) 사진,,1991.10.12,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2070,국회기록보존소,국회연표,최기선 의원(민주자유당) 사진,,1991.10.12,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2071,국회기록보존소,국회연표,양성우 의원(민주자유당) 사진,,1991.10.12,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2072,국회기록보존소,국회연표,윤재기 의원(민주자유당) 사진,,1991.10.14,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2073,국회기록보존소,국회연표,임춘원 의원(평화민주당) 사진,,1991.10.14,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2074,국회기록보존소,국회연표,김봉조 의원(민주자유당) 사진,,1991.10.14,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2075,국회기록보존소,국회연표,최이호 의원(민주자유당) 사진,,1991.10.14,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2076,국회기록보존소,국회연표,김영진 의원(평화민주당) 사진,,1991.10.14,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2077,국회기록보존소,국회연표,신순범 의원(평화민주당) 사진,,1991.10.15,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2078,국회기록보존소,국회연표,김인곤 의원(평화민주당) 사진,,1991.10.15,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2079,국회기록보존소,국회연표,이재황 의원(민주자유당) 사진,,1991.10.15,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2080,국회기록보존소,국회연표,최상진 의원(민주자유당) 사진,,1991.10.15,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2081,국회기록보존소,국회연표,문정수 의원(민주자유당) 사진,,1991.10.15,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2082,국회기록보존소,국회연표,국무총리 정원식 「남북사이의화해와불가침및교류·협력에관한합의서」에관한보고  사진,,1991.12.16,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2083,국회기록보존소,국회연표,제14대국회 제157회 국회(임시회) 개회식 사진,,1992.06.29,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2084,국회기록보존소,국회연표,제14대국회 제157회 국회(임시회) 개회식 사진,,1992.06.29,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2085,국회기록보존소,국회연표,의장주재 3당 대표 회담 사진,,1992.08.06,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2086,국회기록보존소,국회연표,민주자유당 김영삼 국정에 관한 교섭단체 대표연설  사진,,1992.10.13,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2087,국회기록보존소,국회연표,민주당 김대중 국정에 관한 교섭단체 대표연설(계속) 사진,,1992.10.14,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2088,국회기록보존소,국회연표,(교체) 국정감사 사진,,1992.10.15,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2089,국회기록보존소,국회연표,(운영) 국정감사 사진,,1992.10.15,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2090,국회기록보존소,국회연표,(국방) 국정감사 사진,,1992.10.15,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2091,국회기록보존소,국회연표,(법사) 국정감사 사진,,1992.10.15,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2092,국회기록보존소,국회연표,(교청) 서울대학교병원 국정감사 사진,,1992.10.15,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2093,국회기록보존소,국회연표,(상공) 국정감사 사진,,1992.10.15,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2094,국회기록보존소,국회연표,(문공) 국정감사 사진,,1992.10.15,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2095,국회기록보존소,국회연표,(내무) 국정감사 사진,,1992.10.15,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2096,국회기록보존소,국회연표,통일국민당 정주영 국정에 관한 교섭단체 대표연설 사진,,1992.10.15,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2097,국회기록보존소,국회연표,(행정) 국정감사 사진,,1992.10.15,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2098,국회기록보존소,국회연표,곽영달 의원(민주자유당) 사진,,1992.10.26,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2099,국회기록보존소,국회연표,강창성 의원(민주당) 사진,,1992.10.26,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2100,국회기록보존소,국회연표,노승우 의원(민주자유당) 사진,,1992.10.26,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2101,국회기록보존소,국회연표,조순환 의원(통일국민당) 사진,,1992.10.26,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2102,국회기록보존소,국회연표,이세기 의원(민주자유당) 사진,,1992.10.26,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2103,국회기록보존소,국회연표,손세일 의원(민주당) 사진,,1992.10.26,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2104,국회기록보존소,국회연표,강신옥 의원(민주자유당) 사진,,1992.10.26,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2105,국회기록보존소,국회연표,홍기훈 의원(민주당) 사진,,1992.10.26,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2106,국회기록보존소,국회연표,유흥수 의원(민주자유당) 사진,,1992.10.26,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2107,국회기록보존소,국회연표,이한동 의원(민주자유당) 사진,,1992.10.26,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2108,국회기록보존소,국회연표,김동길 의원(통일국민당) 사진,,1992.10.26,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2109,국회기록보존소,국회연표,김상현 의원(민주자유당) 사진,,1992.10.26,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2110,국회기록보존소,국회연표,장재식 의원(민주당) 사진,,1992.10.27,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2111,국회기록보존소,국회연표,박우병 의원(민주자유당) 사진,,1992.10.27,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2112,국회기록보존소,국회연표,박일 의원(민주당) 사진,,1992.10.27,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2113,국회기록보존소,국회연표,양창식 의원(민주자유당) 사진,,1992.10.27,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2114,국회기록보존소,국회연표,차화준 의원(통일국민당) 사진,,1992.10.27,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2115,국회기록보존소,국회연표,나오연 의원(민주자유당) 사진,,1992.10.27,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2116,국회기록보존소,국회연표,김두섭 의원(통일국민당) 사진,,1992.10.28,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2117,국회기록보존소,국회연표,김태식 의원(민주당) 사진,,1992.10.28,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2118,국회기록보존소,국회연표,조영장 의원(민주자유당) 사진,,1992.10.28,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2119,국회기록보존소,국회연표,정영훈 의원(민주자유당) 사진,,1992.10.28,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2120,국회기록보존소,국회연표,김동권 의원(민주자유당) 사진,,1992.10.28,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2121,국회기록보존소,국회연표,이희천 의원(민주당) 사진,,1992.10.28,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2122,국회기록보존소,국회연표,함석재 의원(민주자유당) 사진,,1992.10.29,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2123,국회기록보존소,국회연표,김원웅 의원(민주당) 사진,,1992.10.29,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2124,국회기록보존소,국회연표,최낙도 의원(민주당) 사진,,1992.10.29,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2125,국회기록보존소,국회연표,남재두 의원(민주자유당) 사진,,1992.10.29,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2126,국회기록보존소,국회연표,이호정 의원(통일국민당) 사진,,1992.10.29,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2127,국회기록보존소,국회연표,성무용 의원(민주자유당) 사진,,1992.10.29,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2128,국회기록보존소,국회연표,노태우대통령 고별 국회연설 사진,,1992.12.04,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2129,국회기록보존소,국회연표,김영삼 총재 제14대 대통령 당선 사진,,1992.12.19,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2130,국회기록보존소,국회연표,제160회 국회(임시회) 개회식 사진,,1993.02.09,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2131,국회기록보존소,국회연표,"정몽준 의원(통일국민당, 무소속) 사진",,1993.02.11,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2132,국회기록보존소,국회연표,박정수 의원(민주자유당) 사진,,1993.02.11,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2133,국회기록보존소,국회연표,한화갑 의원(민주당) 사진,,1993.02.11,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2134,국회기록보존소,국회연표,서수종 의원(민주자유당) 사진,,1993.02.11,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2135,국회기록보존소,국회연표,박정훈 의원(민주당) 사진,,1993.02.12,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2136,국회기록보존소,국회연표,민태구 의원(민주자유당) 사진,,1993.02.12,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2137,국회기록보존소,국회연표,박은태 의원(민주당) 사진,,1993.02.12,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2138,국회기록보존소,국회연표,심정구 의원(민주자유당) 사진,,1993.02.12,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2139,국회기록보존소,국회연표,정필근 의원(민주자유당) 사진,,1993.02.12,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2140,국회기록보존소,국회연표,박제상 의원(민주자유당) 사진,,1993.02.12,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2141,국회기록보존소,국회연표,조일현 의원(민주자유당) 사진,,1993.02.15,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2142,국회기록보존소,국회연표,김장곤 의원(민주당) 사진,,1993.02.15,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2143,국회기록보존소,국회연표,최돈웅 의원(무소속) 사진,,1993.02.15,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2144,국회기록보존소,국회연표,김채겸 의원(민주정의당) 사진,,1993.02.15,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2145,국회기록보존소,국회연표,박광태 의원(민주당) 사진,,1993.02.15,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2146,국회기록보존소,국회연표,최상용 의원(자유민주연합) 사진,,1993.02.16,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2147,국회기록보존소,국회연표,원혜영 의원(민주당) 사진,,1993.02.16,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2148,국회기록보존소,국회연표,조진형 의원(신한국당) 사진,,1993.02.16,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2149,국회기록보존소,국회연표,"김진영 의원(통일국민당, 자유민주연합) 사진",,1993.02.16,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2150,국회기록보존소,국회연표,장영달 의원(민주당) 사진,,1993.02.16,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2151,국회기록보존소,국회연표,송두호 의원(민주자유당) 사진,,1993.02.16,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2152,국회기록보존소,국회연표,김영삼 대통령 취임식 사진,,1993.02.25,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2153,국회기록보존소,국회연표,국회 잔디광장의 취임식 사진,,1993.02.25,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
2154,국회기록보존소,국회연표,강부자 의원 의원선서 사진,,1993.03.03,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 촬영 사진,국회사무처
