[국회도서관] 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판명,게시물 제목,URL,발행년,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,생산기관
60,국회기록보존소,국회연표,"9.28 서울수복, 중앙청 태극기 게양 사진",,1950.09.28,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
61,국회기록보존소,국회연표,이승만대통령 평양시찰 시민환영대회 사진,,1950.10.29,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
62,국회기록보존소,국회연표,거창양민학살사건 조사등이 이루어진 피난국회 본회의,,1951.05.14,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
63,국회기록보존소,국회연표,김성수부통령의 국회연설/5.18,,1951.05.18,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
64,국회기록보존소,국회연표,전시중 임시의사당으로 사용했던 경남도청내 무덕전,,1951.06.27,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
65,국회기록보존소,국회연표,원내 자유당 창당식에서 축사를 하는 신익희 국회의장,,1951.12.23,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
66,국회기록보존소,국회연표,국회 신년 축하식,,1952.01.01,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
67,국회기록보존소,국회연표,부산 국회도서관 개관식 관계자 브리핑,,1952.02.20,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,공보처 홍보국 사진담당관
68,국회기록보존소,국회연표,부산 국회도서관 개관식 관계자 도서 열람,,1952.02.20,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,공보처 홍보국 사진담당관
69,국회기록보존소,국회연표,서민호의원 처벌 요구 집회,,1952.05.19,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
70,국회기록보존소,국회연표,헌병대로 강제연행되는 야당 의원들,,1952.05.26,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
71,국회기록보존소,국회연표,국회 포위한 시위대,,1952.05.30,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
72,국회기록보존소,국회연표,국회 개헌안 심의,,1952.07.03,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
73,국회기록보존소,국회연표,야간회의에서 기립표결로 발췌개헌안 통과,,1952.07.04,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
74,국회기록보존소,국회연표,"제2대 국회후반기 의장단 선출, 좌로부터 윤치영부의장, 신익희 의장, 조봉암 부의장",,1952.07.10,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
75,국회기록보존소,국회연표,제헌의원 초청 간담회,,1952.07.17,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
76,국회기록보존소,국회연표,직선제 대통령 선거,,1952.08.05,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
77,국회기록보존소,국회연표,제2대 대통령 취임식,,1952.08.15,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
78,국회기록보존소,국회연표,국회를 방문한 미국 하원의원단의 대표연설,,1952.09.08,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
79,국회기록보존소,국회연표,아이젠하워 미국대통령 당선자 국회방문,,1952.12.06,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
80,국회기록보존소,국회연표,엘리자베스 여왕의 대관식에 참석하기 위해 영국방문길에 오른 신익희 의장(좌)과 김동성(우) 사진,,1953.05.18,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
81,국회기록보존소,국회연표,윌리암 노올랜드 미국상원의원 국회연설,,1953.08.29,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
82,국회기록보존소,국회연표,닉슨 미국부통령 국회연설,,1953.11.13,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
