한국보육진흥원 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
28,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,갑질 피해 신고·지원센터 설치·운영 안내,,2019-11-05 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
29,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,부패공익침해 집중신고기간 운영 보도자료 안내,,2018-11-14 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
30,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,청렴 화면보호기 제작 및 배포 결과 공지,,2018-11-09 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
31,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,2018년 윤리경영위원회 개최 결과 공지,,2018-11-09 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
32,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,부패행위 신고 접수&#8228;처리 및 신고자 보호 등에 관한 운영지침 제정 안내,,2018-10-24 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
33,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,2018년 하반기 윤리경영 실천주간 운영 결과 공지,,2018-10-24 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
34,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,2018년 반부패&#8231;청렴교육 실시 안내,,2018-09-18 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
35,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,2018년 상반기 직원역량강화 교육 현황 안내,,2018-07-10 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
36,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,2018년 상반기 윤리경영 실천주간 운영 결과 공지,,2018-06-18 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
37,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,부정청탁금지법 관련 대국민 보고자료 안내,,2018-02-01 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
38,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,윤리경영 실천 서약식 실시,,2017-11-22 00:00:00,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
39,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,채용비리 통합신고센터 안내,,2017-11-18 00:00:00,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
40,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,2017년 하반기 윤리경영 실천주간 운영,,2017-10-12 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
41,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,감사교육원 교육 참석,,2017-07-03 00:00:00,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
42,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,반부패&#8228;청렴교육 실시,,2017-06-16 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
43,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,2017년 윤리경영 실천주간 운영,,2017-05-01 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
44,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,임직원의 직무 관련 범죄 고발지침 제정 안내,,2017-03-20 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
45,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,2016년 부패방지교육 현황 안내,,2017-02-28 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
