NIA 한국지능정보사회진흥원 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
26,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,사물통신 포럼 창립 총회 및 기념 세미나 안내,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3755,20091112,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
27,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,인터넷ㆍ게임 중독 예방 및 극복 수기 공모전,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3759,20091113,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
28,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,[행사안내] 정보시스템 감리제도 개선 공청회 /11.18(수),https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3758,20091113,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
29,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,행정기관 대상 인터넷전화 도입장비 시험평가 안내,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3765,20091120,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
30,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,2009년 건전한 정보문화 조성을 위한 학교ceo 리더십 과정 안내,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3771,20091123,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
31,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,C세대를 위한 리믹스 컨테스트 개최,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3798,20091124,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
32,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,[공지] 부정당업자 제재공지,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3811,20091126,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
33,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,[행사안내] 인터넷기반서비스 기본법 공청회 개최 /12.3(목),https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3812,20091127,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
34,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,정보문화학교 우수실천사례 공모전 당선작 발표,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3817,20091130,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
35,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,사물통신 새 명칭 공모전 수상작 발표 연기,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3819,20091130,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
36,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,정보문화학교 지도교사 대상 설문조사 당첨자 안내,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3816,20091130,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
37,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,u-City IT인프라구축 세부 가이드라인 V2.0 공개,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3822,20091201,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
38,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,인터넷중독 신규정책 공모전 당선자 발표,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3834,20091205,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
39,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,인터넷.게임 중독 예방 및 극복 수기공모전 당선작 발표,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3868,20091216,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
40,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,[공지] 사물통신 새 명칭 공모전당선작 발표,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3893,20091230,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
41,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,[공모] 국제IT협력센터 파견 전문가 선발 공모,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3966,20100114,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
42,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,국가DB포럼 창립 총회 및 공공정보 활용 전략 컨퍼런스,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3968,20100115,무,미부착,,검토 불가,검토 불가,,O,,,,,,※ 게시물 확인 불가,
43,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,국가DB포럼 창립총회 및 공공정보 활용 전략 컨퍼런스 자료 공개,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3979,20100119,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
44,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,2010년 국가DB사업 제안요청설명회 개최,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=3986,20100121,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
45,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,2010년도 국가DB사업 제안요청설명회 자료집,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4000,20100127,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
46,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,정부중앙청사 인터넷전화 보안성 검토 결과 설명회 발표자료,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4033,20100211,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
47,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,2010년도 어르신 IT봉사단 모집,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4056,20100221,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
48,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,2010년도 장애인 IT전문인력 양성교육 기관 선정 안내,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4063,20100222,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
49,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,[공고] 2010년도 북한이탈주민 IT 전문교육 지원신청 안내,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4074,20100302,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
50,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,전자정부 표준프레임워크 성공사례 발표회 개최,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4079,20100305,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
51,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,'10년 지역기반 u-서비스 지원사업 설명회 개최 안내,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4103,20100308,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
52,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,제1기 웹 접근성 모니터 요원 모집 공고,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4098,20100308,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
53,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,[행사안내] 제15회 정보문화포럼 개최 / 3월12일(금),https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4091,20100308,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
54,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,생활공감지도 서비스 오픈 및 세미나 안내,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4107,20100309,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
