한국지역정보개발원 공공저작물 권리확인 대상 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
102,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,공무원 정보화 역량진단 고도화사업 완료보고회 개최,,2011-11-07 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
103,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,2012년 상반기 연구과제 수요조사 안내,,2011-11-14 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
104,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,원내 공공 I-PIN 이용활성화를 위한 직원 교육안내,,2011-11-16 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
105,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,IT기반으로 세금 · 공과금 통합 납부체계 구축관련 기사,,2011-10-04 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
106,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,경주시 지역정보화 기본계획 수립 중간보고회 개최,,2011-10-19 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
107,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,2011 공공정보화대상 개최,,2011-11-08 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
108,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,2011년 공공정보화 대상 79개 기관 출사표,,2011-11-22 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
109,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,광주광역시 경계조정관련 설명회 개최,,2011-09-30 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
110,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,공공 I-PIN 서비스 순회교육 실시,,2011-11-22 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
111,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,2011년도 인터넷원서접수센터운영 실무협의회,,2011-11-29 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
112,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,행정전자서명 암호체계 고도화 완료 보고회 개최,,2011-11-29 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
113,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,미래형 지역정보화 가치와 추진전략 세미나 개최안내,,2011-12-12 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
114,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,제 22회 한국지역정보개발원 임시 이사회 개최,,2011-12-12 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
115,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,"남해군 지역정보화, 세대간 소통 총력 관련 기사",,2011-12-12 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
116,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,2011 공공정보화대상 수상 현황,,2011-12-21 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
