한국지역정보개발원 공공저작물 권리확인 대상 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
40,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,"경북, 사이버침해대응센터 개통",,2009-06-22 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
41,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,"'서울시 전자정부', 세계로 간다",,2009-07-10 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
42,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,[인천]2009년 인천세계도시축전,,2009-07-27 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
43,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,[강원태백] 제13회 태백산쿨시네마페스티벌,,2009-07-27 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
44,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,경남에 사이버침해대응센터가 문을 연다,,2009-08-10 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
45,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,"영등포구, 시설물 통합관리시스템 구축",,2009-08-10 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
46,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,[대전시]2009년도 정보문화교육 홍보,,2009-08-10 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
47,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,나이지리아 공무원 서초구 행정 노하우 배운다,,2009-09-14 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
48,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,충청남도 서이버침해사고 예방에 두팔 걷어,,2009-09-14 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
49,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,"포천시, 검토보고회 개최",,2009-10-06 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
50,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,"김천시.양각자두마을, 행안부 정보화마을 평가 3년연속 '우수'",,2009-10-20 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
51,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,2009 자치정보화대상 '청주시' 첫 영예,,2009-12-07 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
52,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,지자체 자율 통합에 따른 IT통합,,2010-02-01 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
53,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,SW 지재권 공동소유 '구두선'에 그쳤다,,2010-02-19 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
54,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,통합 자치단체 정보시스템 담당자 워크숍 개최,,2010-02-19 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
55,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,"한국, 전자정부 세계 1위",,2010-03-02 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
