철도산업정보센터 공공저작물 권리확인 대상 목록,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
51,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,영업개시,,1908-05-20 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
52,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1909-11-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
53,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,대전-연산 간 24.3리를 비롯하여 8개 공사구간 설정,,1910-01-00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
54,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,영업개시,,1910-01-00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
55,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사준공,,1910-10-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
56,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,영업개시(출처:1910105조선총독부관보 고시 제 14호)(요람집에는 1899918일로 기재),,1910-10-21 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
57,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,압록강 철교 완공,,1911-00-00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
58,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,군산-강경 간 31.2리를 착공,,1911-03-00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
59,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,영업개시,,1911-07-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
60,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1911-07-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
61,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,용산~의정부 개통,,1911-10-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
62,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시(독도(纛島)역),,1911-10-15 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
63,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,영업개시,,1911-10-15 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
64,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1911-10-15 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
65,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1911-11-15 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
66,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,김제-이리 간 11.1리를 착공,,1911-12-00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
67,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,화물취급 중지,,1912-02-21 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
68,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,군산-강경 간 완공,,1912-03-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
69,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,지경간이역으로 영업개시,,1912-03-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
70,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1912-03-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
71,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,의정부~연천 개통,,1912-07-02 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
