국립해양문화재연구소 공공저작물 권리확인 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,작성일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
61,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,태안해양유물전시관 <2019년 전문가와 함께하는 문화유산답사(제1차)> 참가자 모집,,2019.05.29,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,공고,
62,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,제2차 조선통신사선을 타고 역사 문화유적지 탐방 참가자 모집,,2019.06.03,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
63,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,2019년 제1기 달빛바다학교 참가자 모집 (태안),,2019.06.10,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,공고,
64,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,제3차 조선통신사선을 타고 떠나는 해양유적 문화기행 참가자 모집,,2019.06.18,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
65,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,6월 문화가 있는 날 돛단배 항해체험 참가자 모집,,2019.06.18,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
66,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,KCI 등재후보지『해양문화재』제12호 게재 논문 모집기간 연장 안내,,2019.06.26,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
67,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,7월 문화가 있는 날 돛단배 항해체험 참가자 모집,,2019.07.08,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
68,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,제4차 조선통신사선을 타고 떠나는 해양유적 문화기행 참가자 모집,,2019.07.08,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
69,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,제5차 조선통신사선을 타고 떠나는 해양유적 문화기행 참가자 모집,,2019.07.15,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
70,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,2020~2021년 국립해양문화재연구소 연구사업 외부 수요조사 안내,,2019.07.22,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
71,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,2019년 해양여름캠프 당첨자 안내,,2019.07.23,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
72,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,2019년 해양여름캠프 공지사항,,2019.07.23,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
