강진군청 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
47,강진군청,HOME > 소통과참여 > 정책토론 > 설문조사,설문조사,[전라남도 강진군] 임성리~보성 철도건설사업 강진역 명칭 제정을 위한 주민 설문조사 (강진군),,2021-08-26 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
48,강진군청,HOME > 소통과참여 > 정책토론 > 설문조사,설문조사,[전라남도 강진군] 민원실 내 인공지능 통번역기 만족도 조사,,2022-05-04 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
49,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,강진읍 서성리 현수막게시대 정비,https://www.gangjin.go.kr/www/communication/view/case,2012-11-07 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
50,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,신전면 도로경관 정비,,2012-11-07 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
51,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,보은산 안내도 정비,,2012-11-08 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
52,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,영랑생가 안내표지판 정비,,2012-11-08 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
53,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,성전면 성전리 도로변 꽃길 조성,,2012-11-11 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
54,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,kt 담장 정비,,2013-01-25 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
55,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,춘전교 경관 정비,,2013-01-25 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
56,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,강진교육지원청 앞 사거리 경관 정비,,2013-08-07 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
57,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,강진읍 영랑로 가로화분 조성,,2013-08-07 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
58,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,동성사거리 경관정비,,2015-03-16 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
59,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,탑동길 가꾸기,,2015-03-16 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
60,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,서성리 학생참여 청자벽화,,2015-03-16 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
61,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,서성리 창고벽화,,2015-03-16 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
62,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,예뻐진 강진고 옹벽,,2015-03-16 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
63,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,목리길 간판 정비,,2015-03-16 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
64,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,동문안 마을 경관 개선사업,,2021-02-23 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
65,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,동문안 마을 경관 개선사업,,2021-02-23 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
66,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,불법 유동광고물 정비 - 강진읍,,2021-02-23 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
67,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,불법 유동광고물 정비 - 강진읍,,2021-02-23 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
68,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,불법 유동광고물 정비 - 군동면,,2021-02-23 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
69,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,불법 유동광고물 정비 - 군동면,,2021-02-23 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
70,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,불법 유동광고물 정비 - 칠량면,,2021-02-23 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
71,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,불법 유동광고물 정비 - 대구면,,2021-02-23 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
72,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,불법 유동광고물 정비 - 마량면,,2021-02-23 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
73,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,불법 유동광고물 정비 - 도암면,,2021-02-23 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
74,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,불법 유동광고물 정비 - 신전면,,2021-02-23 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
75,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,불법 유동광고물 정비 - 성전면,,2021-02-23 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
76,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,불법 유동광고물 정비 - 작천면,,2021-02-23 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
77,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,불법 유동광고물 정비 - 병영면,,2021-02-23 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
78,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,불법 유동광고물 정비 - 옴천면,,2021-02-23 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
79,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관개선사례,경관개선사례,2022년 상반기 불법 유동광고물 정비 사례,,2022-06-16 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
80,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관자료실,경관자료실,테스트,https://www.gangjin.go.kr/www/communication/view/data,2011-10-11 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
81,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관자료실,경관자료실,간판가이드북,,2011-10-11 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물(기관 간행물),
82,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관자료실,경관자료실,좋은 간판 사례집,,2011-10-11 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물(타기관 간행물),
83,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관자료실,경관자료실,서울서체 무료로 다운 받으세요~^^,,2011-10-14 00:00:00,첨부파일,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,타기관 배포용 저작물,
84,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관자료실,경관자료실,디자인 뉴스레터 - 10월호,,2011-10-17 00:00:00,첨부파일,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,"기관 간행물[외부이미지(출처표시), 외부자료(인터넷기사 발췌)]",
85,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관자료실,경관자료실,건축물 디자인 자료(1),,2011-10-17 00:00:00,첨부파일,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,외부이미지 포함(출처불명),
86,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관자료실,경관자료실,축사 건축물 디자인 가이드라인,,2011-11-02 00:00:00,첨부파일,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,기관 간행물[외부이미지 포함(출처표시)],
87,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관자료실,경관자료실,공장 창고 건축물 가이드라인,,2011-11-07 00:00:00,첨부파일,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,외부이미지 포함(출처불명),
88,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관자료실,경관자료실,조립식 건축물 디자인 가이드라인,,2011-11-14 00:00:00,첨부파일,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,외부이미지 포함(출처불명),
89,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관자료실,경관자료실,디자인 뉴스레터 - 11월호,,2011-11-16 00:00:00,첨부파일,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,"기관 간행물[외부이미지(출처표시), 외부자료(인터넷기사 발췌)]",
90,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관자료실,경관자료실,애플 사옥 조감도,,2011-12-05 00:00:00,첨부파일,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,"외부자료(인터넷기사 발췌), 외부이미지 포함(그림)",
91,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관자료실,경관자료실,공동주택 디자인 가이드라인,,2011-12-20 00:00:00,첨부파일,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,기관 간행물[외부이미지 포함(출처불명)],
92,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관자료실,경관자료실,아름다운 공공건축물,,2011-12-22 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
93,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관자료실,경관자료실,옥외광고물 디자인 가이드라인,,2011-12-29 00:00:00,첨부파일,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,기관 간행물[외부이미지(출처불명)],
94,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관자료실,경관자료실,디자인 뉴스레터 제8호,,2012-06-26 00:00:00,첨부파일,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,"기관 간행물[외부이미지,자료 포함(출처불명 포함)]",
95,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관자료실,경관자료실,2013 경관공공디자인 정보지 「강진그리기」,,2013-12-26 00:00:00,첨부파일,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,"기관 간행물[외부이미지,자료 포함(출처불명 포함)]",
96,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관자료실,경관자료실,강진군 경관가이드라인,,2017-02-06 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물(연구보고서),
97,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관자료실,경관자료실,2030 강진군 경관계획1 (1장 계획개요 및 2장 현황분석),,2017-02-06 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물(연구보고서),
98,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관자료실,경관자료실,2030 강진군 경관계획2 (3장 기본구상 및 4장 기본계획),,2017-02-06 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물(연구보고서),
99,강진군청,HOME > 소통과참여 > 좋은경관만들기 > 경관자료실,경관자료실,2030 강진군 경관계획3 (5장 경관가이드라인 및 6장 실행계..,,2017-02-06 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물(연구보고서),
