대구광역시청 공공저작물 권리확인 요청 목록 (연계 권장),,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
22,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,[정보] 2017 나에게 힘이 되는 복지 서비스 발간,https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=329424,2017-04-28,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
23,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,[사례]00지역아동센터 운영개선,https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=329421,2017-04-28,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
24,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,[사례]노인일자리사업 탈락에 대한 문의,https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=329420,2017-04-28,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
25,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,[사례]장애인 일자리 교육을 받고 싶다,https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=329419,2017-04-28,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
26,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,[사례]기초수급비가 적게 지급되는 것 같다.,https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=329418,2017-04-28,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
27,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,[사례]대구시 다자녀에 대한 복지지원 필요.,https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=329414,2017-04-28,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
28,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,[사례] 생활이 어려워 취업알선 도움 호소,https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=329411,2017-04-28,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
29,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,[정보]2017년 찾아가는 복지서비스 확대,https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=322687,2017-02-21,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
30,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,[사례] 00의료원 진료 시간 변경에 대한 민원,https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=248443,2016-11-11,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
31,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,[사례] 기초수급 탈락 관련 문의,https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=248442,2016-11-11,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
