국립무형유산원 공공저작물 권리확인 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,작성일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
36,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,국립무형유산원 운전원(기간제근로자) 채용 공고,,2014-04-07 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
37,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,국립무형유산원 CI 파일(기본형),,2014-04-21 00:00:00,첨부파일,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,기관 CI 첨부,
38,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,국립무형유산원 CI 파일(가로형),,2014-04-21 00:00:00,첨부파일,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,기관 CI 첨부,
39,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2014년 무형문화유산 교육 프로그램 공모 및 시연사업 행사 일정 변경 안내,,2014-04-24 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
40,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,<2014 이수자 전승활동 지원> 사업설명회 개최,,2014-05-15 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
41,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,국립무형유산원 전시해설 자원봉사자 모집,,2014-05-21 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
42,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,대학연계 중요무형문화재 제48호 단청장 교육 참가 신청 안내,,2014-05-30 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
43,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,국립무형유산원 전시해설 자원봉사자 모집,,2014-06-05 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
44,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,제394차 민방위(화재대피)훈련 : 6.20.금.14:00~14:20,,2014-06-20 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
45,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,국립무형유산원 열림 한마당 자원봉사자 '틔우미' 모집,,2014-08-04 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
