[국회도서관] 공공저작물 권리확인 요청 목록 (월간 국회도서관),,,,,,,,,,,,,,,,,,,
순번,사이트명,게시물 제목,url,발행년,저자,발행처,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
51,국회전자도서관,慶尙北道地方費歲入出豫算書. 1928,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010109,1928,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
52,국회전자도서관,天安郡天安面歲入歲出豫算. 1928,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010086,1928,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
53,국회전자도서관,京畿道地方費歲入歲出豫算. 1928,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010061,1928,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
54,국회전자도서관,浦項面歲入歲出豫算書. 1929,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010142,1929,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
55,국회전자도서관,蔚山郡蔚山面歲入歲出豫算. 1929,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010139,1929,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
56,국회전자도서관,安東郡安東面歲入歲出決算. 1929,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010137,1929,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
57,국회전자도서관,尙州郡尙州面歲入歲出豫算. 1929,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010130,1929,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
58,국회전자도서관,馬山府歲入出豫算書. 1929,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010119,1929,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
59,국회전자도서관,東萊郡東萊面歲入歲出豫算. 1929,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010118,1929,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
60,국회전자도서관,金泉郡金泉面歲入歲出豫算. 1929,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010116,1929,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
61,국회전자도서관,慶尙南道地方費實行豫算. 1929,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010111,1929,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
62,국회전자도서관,慶州郡慶州面歲入歲出豫算書. 1929,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198010110,1929,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
