[국회도서관] 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판진입과정,게시판명,게시물 제목,URL,등록일,기사 수량,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
40,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1996년 9·10월),,1996년 9·10월,18,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
41,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1996년 7·8월),,1996년 7·8월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
42,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1996년 5·6월),,1996년 5·6월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
43,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1996년 3·4월),,1996년 3·4월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
44,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1996년 1·2월),,1996년 1·2월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
45,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1995년 12월),,1995년 12월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
46,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1995년 11월),,1995년 11월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
47,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1995년 9·10월),,1995년 9·10월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
48,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1995년 7·8월),,1995년 7·8월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
49,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1995년 6월),,1995년 6월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
50,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1995년 5월),,1995년 5월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
51,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1995년 3·4월),,1995년 3·4월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
52,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1995년 1·2월),,1995년 1·2월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
