한국영상자료원 공공저작물 권리확인 대상 목록,,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,부제,URL,기간/등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,1.0,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
1210,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,"퐁당퐁당의 저주, 할 수 있는 자가 구하라",그녀들을 도와줘/데드 돈 다이/돈 워리/돈키호테를 죽인 사나이/러브리스/밤쉘/북클럽/아녜스가 말하는 바르다/퍼스트 리폼드/해피엔드/행복한 라짜로총 11 편,,2019.10.03.목 ~ 10.15.화,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1211,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,인도 영화제,개막식+시크릿 슈퍼스타/랏챠시/우마/춤바크/페란부/하누만 vs 마히라바나총 6 편,,2019.10.16.수 ~ 10.20.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1212,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,<지구를 지켜라!> & <인정사정 볼 것 없다> 4K 디지털 복원 기념 특별 상영,인정사정 볼것 없다/지구를 지켜라!총 2 편,,2019.10.20.일 ~ 10.23.수,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1213,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,조지아 영화제,데데/모이라/스캐어리 마더/피로스마니/하우스 오브 아더스총 5 편,,2019.10.22.화 ~ 10.25.금,,미부착,,개방 가능,공공누리 2~4유형,,,,,O,,,영화별 스틸컷 1장. 소개자료,
1214,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,대담,비탈리나 바렐라총 1 편,,2019.10.26.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,스틸컷 1장,
1215,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,프로그래머의 초이스,체 게바라: 1부 아르헨티나/체 게바라: 2부 게릴라총 2 편,,2019.10.26.토 ~ 10.29.화,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1216,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,나의 친애하는 한국영화,싸이보그지만 괜찮아/증인/초우/최후의 증인총 4 편,,2019.10.27.일 ~ 11.02.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1217,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,영화로 세계를 논하다 #2 'SF와 상상력의 확장',컨택트총 1 편,,2019.10.29.화 ~ 10.31.목,,미부착,,개방 가능,공공누리 2~4유형,,,,,O,,,"포스터 3장, 소개자료",
1218,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,KOFA's 인디-챕터,겨울밤에총 1 편,,2019.10.30.수,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1219,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,영자네 사랑방,돌연변이/준하의 행성총 2 편,,2019.10.30.수 ~ 10.31.목,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1220,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,한국 독립영화의 재탄생: 디지털 리마스터링 & 복원전,낮은 목소리 2/낮은 목소리 3 - 숨결/닫힌 교문을 열며/송환/수리세+파랑새/아침과 저녁 사이+강의 남쪽/오! 꿈의 나라/우중산책+와이키키 브라더스/파업전야총 9 편,,2019.11.01.금 ~ 11.07.목,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1221,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,독립영화 쇼케이스: 현대사를 움직이는 얼굴들,기억의 전쟁/나의 노래: 메아리/빨간 벽돌/스물다섯번째 시간/외롭고 높고 쓸쓸한/평행선총 6 편,,2019.11.01.금 ~ 11.03.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1222,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,"경계를 넘어서: 장민승, 임흥순, 박경근",군대/려행/오버 데어+입석 부근/청계천 메들리총 4 편,,2019.11.03.일 ~ 12.01.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1223,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,인디다큐 시간여행: 한국 독립다큐멘터리의 목소리 - 인터뷰와 함께 쓰는 역사,3xFTM/강정 인터뷰 프로젝트 PART 1/강정 인터뷰 프로젝트 PART 2/과거는 낯선 나라다/돌 속에 갇힌 말 - 구로구청 부정투표함 항의농성사건/생리해주세요+시국페미+핑크페미/수리세+감정의 시대: 서비스 노동의 관계미학+일/주민등록증을 찢어라!/파산의 기술記述/흩어지면 죽는다+벼랑에 선 도시 빈민총 10 편,,2019.11.08.금 ~ 11.14.목,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1224,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,프로그래머의 초이스,가족여행총 1 편,,2019.11.13.수 ~ 11.17.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1225,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,"위 게더, 해피투게더! 독립영화","낮술/불청객/뽀삐 + 요세미티와 나/셔틀콕/스틸 플라워/왕자가 된 소녀들/우린 액션배우다/지금, 이대로가 좋아요/파닥파닥/파수꾼/회오리 바람총 11 편",,2019.11.14.목 ~ 11.28.목,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1226,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,제9회 서울배리어프리영화제,고양이 여행 리포트(배리어프리)/기생충(배리어프리)/김복동(배리어프리)/미래의 미라이(배리어프리)/배리어프리 단편 애니메이션 (2편) 메밀꽃 필 무렵 / 무림일검의 사생활 /봉오동 전투(배리어프리)/사랑방 손님과 어머니(배리어프리)/시집가는 날(배리어프리)/엑시트(배리어프리)/오즈의 마법사(배리어프리)/일 포스티노(배리어프리)/커다랗고 커다랗고 커다란 배(배리어프리)/한글자막 단편애니메이션 섹션1/한글자막 단편애니메이션 섹션2총 14 편,,2019.11.20.수 ~ 11.24.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1227,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,영화로 세계를 논하다 #3 영화에서 '탐정'의 재현,언더 더 실버 레이크총 1 편,,2019.11.26.화,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1228,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,인디곳간: 독립영화 아카이브 강연,"독립영화인을 위한 아카이빙 전략, 나의 작품을 보존하기 위한 실용적 방안총 1 편",,2019.11.27.수,,미부착,,개방 가능,공공누리 1유형,,,,,O,,,"강연 소개 이미지, 저작물성 없음",
1229,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,"한국영화 100년, 과거·현재·미래의 만남 : 2019 대한민국예술원 연영무전(영화부문)",[개막식] 갯마을/내시/밀월/티켓/하얀전쟁총 5 편,,2019.11.28.목 ~ 11.30.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1230,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,세계영화사의 순간들,"<국가의 탄생> 이전의 그리피스, 고전적인 영화 문법의 탄생 (그리고 계속)/다시 한 번, 영화에서 달린다는 문제에 대해서/루이 푀이야드, 혹은 미장센의 고고학/영화를 보는 기쁨, 말하자면 첫번째 영화적인 관객에 관하여/이마 베프총 5 편",,2019.11.30.토 ~ 12.28.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1231,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,프로그래머의 초이스,지구 최후의 밤총 1 편,,2019.12.04.수 ~ 12.08.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1232,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,태평양 동맹 영화제 2019,40세에/내 방식대로 II /더 드래곤 디펜스/마테오/야수/육체의 복음/좋은 여자들/천국에 간 비올레타총 8 편,,2019.12.10.화 ~ 12.15.일,,미부착,,개방 가능,공공누리 2~4유형,,,,,O,,,영화별 스틸컷 1장,
1233,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,MoMA의 재발견 - <로지타>와 폭스사의 영화들,거리의 천사/로지타/미 앤 마이 갤/배드 걸/제7의 천국/퀵 밀리온즈/트랜스아틀란틱총 7 편,,2019.12.10.화 ~ 12.15.일,,미부착,,개방 가능,공공누리 1유형,,,,,O,,,"모두 1963년 이전 외국 영화, 저작권 보호기간 만료",
1234,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,2019 사사로운 영화 리스트,경계선/더 페이버릿: 여왕의 여자/라 플로르 Part 1/라 플로르 Part 2 /라 플로르 Part 3 /라스트 미션/리베르떼/미드소마/배신자/사마에게/서스페리아/원스 어폰 어 타임... 인 할리우드 /이사도라의 아이들/조커/타오르는 여인의 초상/파이어 윌 컴/화이트 온 화이트총 17 편,,2019.12.24.화 ~ 01.10.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1235,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,"독립영화 연말정산, 13월의 보너스",내가 사는 세상/메기/벌새/보희와 녹양/삽질/아워 바디/어른이 되면/우리집/졸업/칠곡 가시나들/한강에게총 11 편,,2020.01.11.토 ~ 01.23.목,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1236,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,프로그래머의 초이스,델마총 1 편,,2020.01.15.수 ~ 01.23.목,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1237,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,제8회 재팬파운데이션 무비 페스티벌,강아지 마메시바/개에게 처음 이름을 지어준 날/고양이 여행 리포트/괴담/굿'바이: Good & Bye/꿈은 소의 수의사/날씨의 아이/도데스카덴/마다다요/마메시바 이치로 3D/아무도 지켜주지 않아/야성의 여인/어느 가족/진흙강/행복 목욕탕총 15 편,,2020.01.28.화 ~ 02.09.일,,미부착,,개방 가능,공공누리 2~4유형,,,,,O,,,영화별 스틸컷 1장,
1238,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,<아이리시맨> 특별상영,아이리시맨총 1 편,,2020.02.11.화 ~ 02.19.수,,미부착,,개방 가능,공공누리 2~4유형,,,,,O,,,영화별 스틸컷 1장,
1239,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,시네마테크KOFA가 주목한 2019년 한국영화,강변호텔/김군/메기/미성년/벌새/아워 바디/얼굴들/윤희에게/이월총 9 편,,2020.02.11.화 ~ 02.21.금,,미부착,,개방 가능,공공누리 2~4유형,,,,,O,,,영화별 스틸컷 1장,
1240,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,2월 프로그래머의 초이스,"그녀, 잉그리드 버그만/여배우들의 티타임총 2 편",,2020.02.12.수 ~ 02.20.목,,미부착,,개방 가능,공공누리 2~4유형,,,,,O,,,영화별 스틸컷 1장,
1241,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,오렌지필름 MIXTAPE : Vol. 5,섹션1 (늙은 연꽃 / 아주 조금의 자유 / 비하인더 홀)/섹션2 (상주 / 유빙 / 안녕 내사랑)/섹션3 (해미를 찾아서 / 완벽한 내일 / 그 여름에 봄)/섹션4 (별들은 속삭인다 / 공차적응 / 유월)총 4 편,,2020.02.22.토 ~ 02.23.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,스틸컷 여러장 붙인 소개자료,
1242,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,5·18 민주화운동 40주년 기념 특별전,5.18 힌츠페터 스토리/A WALL / 옥상자국 / 꽃피는 철길/국풍 / 자유광주 / 칸트씨의 발표회/김군/꽃잎/박하사탕/부활의 노래/오! 꿈의 나라/오월상생/봄날/속삭이는 잔해와 소리없이 떨어지는 잎들/오월愛/외롭고 높고 쓸쓸한/택시운전사/화려한 휴가/황무지총 14 편,,2020.05.16.토 ~ 05.24.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"꽃잎(1996,로그인 후VOD서비스), 다수의 스틸컷",
1243,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,5월 프로그래머의 초이스,도주하는 아이/라라걸총 2 편,,2020.05.21.목 ~ 05.24.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1244,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,해피투게더 독립영화,밤의 문이 열린다총 1 편,,2020.05.23.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1245,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,애니메이션 기획전 : 일어나면 어쩌나,2020 우주의 원더키디/서울역/스타체이서-오린의 전설/아치와 씨팍/원더풀 데이즈/은하전설 테라/화산고래총 7 편,,2020.07.24.금 ~ 08.12.수,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1246,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,커피 & 시네마 : A Cup of KOFA,더 테이블/바그다드 카페: 디렉터스 컷/세상의 끝에서 커피 한잔/커피 느와르: 블랙 브라운/커피 인 베를린/커피와 담배/타이페이 카페 스토리총 7 편,,2020.07.24.금 ~ 08.09.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1247,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,7월 프로그래머의 초이스,델핀과 카롤/비 프리티 앤 셧 업총 2 편,,2020.07.25.토 ~ 08.06.목,,미부착,,개방 가능,공공누리 2~4유형,,,,,O,,,영화별 스틸컷 1장,
1248,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,인디다큐 시간여행: 시민의 자기 훈련과 사회적 연대,"가현이들/단편 섹션 (행당동 사람들, 두리반 발전기, 퀴어의 방)/밀양, 반가운 손님/산다/쇼킹 패밀리/안녕 히어로/카메라 워/팬지와 담쟁이총 8 편",,2020.08.01.토 ~ 08.09.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1249,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,"시네마x문학: <엠마>, <갈매기>, <카잔자키스>",갈매기/엠마/카잔자키스총 3 편,,2020.08.13.목 ~ 10.18.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1250,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,8.15 광복 기념전: 지키고 싶은 것,대호총 1 편,,2020.08.15.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1251,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,[온라인] 풍문으로 들었소: '컬트적'인 한국영화,관속의 드라큐라/무서운 집/미지왕/바이오맨/삿갓쓴 장고/시실리2km (時失里 2km)/영구와 땡칠이/왜?/육식동물/하피총 10 편,,2020.08.25.화 ~ 09.07.월,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1252,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,[온라인] 9월 프로그래머의 초이스,빈 스크린 또는 영화의 형이상학/지난 해 다하우에서/콘라드 바이트/프라이빗 스크리닝총 4 편,,2020.09.15.화 ~ 09.21.월,,미부착,,개방 가능,공공누리 2~4유형,,,,,O,,,영화 소개 스틸컷 1장씩,
1253,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,[온라인] “다리로 따귀 치는” 태권 액션: '이두용 표' 액션 영화,돌아온 외다리/분노의 왼발/용호대련/죽엄의 다리총 4 편,,2020.09.21.월 ~ 09.28.월,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1254,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,파스빈더-슈뢰터-벤더스,[온라인] 몬도 룩스: 베르너 슈뢰터의 영화세계/[온라인] 빔 벤더스: 청년시대/[온라인] 파스빈더: 요구없는 사랑/룸 666 / 아길라/마리아 브라운의 결혼/빗나간 행동/성스러운 창녀에 주목하라/시간의 흐름속으로/윌로우 스프링스/카첼마허/페널티 킥을 맞은 골키퍼의 불안총 11 편,,2020.10.08.목 ~ 11.01.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1255,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,[온라인] 센트럴파크 10주년 기념전: 오늘이 어제와 마주 하는 법,글리제/눈부신 밤/동백꽃이 피면/미나/보강촬영/복숭아/아지랑이/안부/여름밤의 소리/졸업총 10 편,,2020.10.12.월 ~ 10.26.월,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1256,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,10월 프로그래머의 초이스,네 멋대로 해라: 장 뤽 고다르/프리츠 랑총 2 편,,2020.10.13.화 ~ 10.18.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1257,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,영화와 공간: 타이페이,공포분자/남색대문/남편의 비밀/슈퍼 국민 코/안아재림초/애정만세/여섯 명의 용의자/월몽롱조몽롱/음식남녀/조니를 찾아서/청소년 나타/타이페이 삼만리/타이페이 스토리/타이페이의 1페이지/푸른 달/피노이 선데이/하나 그리고 둘총 17 편,,2020.10.13.화 ~ 11.24.화,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1258,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,[온라인] 배리어프리 x 애니메이션: 내 마음의 상상스케치,[온라인] 메밀꽃 필 무렵(배리어프리버전)/[온라인] 무림 일검의 사생활(배리어프리버전)/[온라인] 산책가(배리어프리버전)/[온라인] 소나기(배리어프리버전)/[온라인] 소중한 날의 꿈(배리어프리버전)/[온라인] 페루자(배리어프리버전)총 6 편,,2020.10.16.금 ~ 12.15.화,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1259,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,[온라인] Democracy at Work: 미국 선거 특별전,레프리젠트: 출마하는 여성들/리턴 오브 워 룸/선거 사무장/스트리트 파이트/앤서니 위너: 선거 이야기/예비선거/워 룸/일렉션 데이총 8 편,,2020.10.19.월 ~ 10.30.금,,미부착,,개방 가능,공공누리 2~4유형,,,,,O,,,영화별 스틸컷 1장 또는 포스터 1장,
1260,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,[온라인] 인디다큐 시간여행: 초-현실의 다큐멘터리,거대 생명체들의 도시/골든라이트/나와 인형놀이/순환하는 밤/완성된 몸/초현실/폐경 폐경 1/환호성총 8 편,,2020.10.30.금 ~ 11.06.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1261,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,[온라인] 공존의 아름다움 1: 사랑하고 고마워!,고양이 춤/고양이 케디/고양이는 불러도 오지 않는다/고양이와 할아버지/나는 고양이로소이다/우리개 이야기/퀼총 7 편,,2020.10.30.금 ~ 11.05.목,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1262,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,저개발의 기억,노마 레이/루시아/만약/메이트원/사기꾼들/저개발의 기억총 6 편,,2020.11.03.화 ~ 11.08.일,,미부착,,개방 가능,공공누리 2~4유형,,,,,O,,,"영화별 스틸컷, 포스터 1장",
1263,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,"[온라인] 최불암, 아버지의 얼굴",달려라 만석아/사람의 아들/영자의 전성시대/최후의 증인/파계총 5 편,,2020.11.06.금 ~ 11.11.수,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1264,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,[온/오프라인] 제10회 서울배리어프리영화제,"[온/오프라인] 오발탄 (배리어프리)/[온라인] '배리어프리 영상제작 전문가과정 수료작' 섹션/[온라인] '배리어프리 단편영화 제작지원작' 섹션/[온라인] '한글자막 단편 애니메이션 상영작' 섹션/감쪽같은 그녀 (배리어프리)/단편섹션-메및꽃 필 무렵, 반짝반짝 두근두근, 선물 (배리어프리)/빛나는 (배리어프리)/잃어버린 세계를 찾아서 (배리어프리)/파리로 가는 길 (배리어프리)총 9 편",,2020.11.11.수 ~ 12.01.화,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1265,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,아카이빙 101,도슨 시티: 얼어붙은 시간/로스앤젤레스 자화상총 2 편,,2020.11.17.화 ~ 11.19.목,,미부착,,개방 가능,공공누리 2~4유형,,,,,O,,,영화별 포스터 1장,
1266,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,독립영화 쇼케이스: 살아남은 여성들의 커밍아웃,"[단편섹션] 돌아가는 길 + 신기록 + 해미를 찾아서/ㅅㄹ, ㅅㅇ, ㅅㄹ/갈매기/보드랍게/십개월/유키코총 6 편",,2020.11.20.금 ~ 11.22.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1267,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,한국영상자료원 공연융합영상 프로젝트 <둥글고 둥글게>,,,2020.11.28.토,,미부착,,개방 가능,공공누리 1유형,,,,,O,,,영화 첨부 없음.이미지 저작권 없음,
1268,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,"[온라인] 내가 사는, 한 뼘 공간",댐 키퍼/베란다/사는게 먼지/세이프/옥살이/컨테이너총 6 편,,2020.12.01.화 ~ 12.08.화,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1269,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,2020 사사로운 영화리스트 Part 1,남매의 여름밤/도망친 여자/소년 아메드/소년시절의 너/임신한 나무와 도깨비/트랜짓총 6 편,,2020.12.04.금 ~ 12.06.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1270,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,[온라인] 감독님… 영화가 하고 싶어요…!!,그녀를 지우는 시간/안느 체크소위코프와 일곱 편의 영화들/어둠에서 빛이 흘러나오는 소리/종말의 주행자/픽션들총 5 편,,2020.12.08.화 ~ 12.15.화,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1271,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,[온라인] 한-러 온라인 영화제,내가 사는 세상/다영씨/동물학/레토/빈폴/어른도감/이혼합시다/히치하이크/히프노시스총 9 편,,2020.12.15.화 ~ 12.22.화,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1272,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,"[온라인] 독립영화 연말정산, 13월의 보너스",69세/나는보리/바람의 언덕/여름날/영하의 바람/웰컴 투 X-월드/이타미 준의 바다/작은 빛/팡파레총 9 편,,2021.01.08.금 ~ 01.18.월,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1273,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,"[온라인]인 메모리엄 안현철, 송재호",꼬방동네 사람들/미스 영의 행방/영자의 전성시대/윤심덕/인목대비/주유천하총 6 편,,2021.01.18.월 ~ 02.01.월,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
1274,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,THE SAFDIES: 사프디 형제 특별전,굿타임/도난당하는 것의 즐거움/레니 쿠크/사프디 형제 단편전/아빠의 천국/프라운랜드 [특별상영]/헤븐 노우즈 왓총 7 편,,2021.01.19.화 ~ 01.23.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
