한국영상자료원 공공저작물 권리확인 대상 목록,,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,부제,URL,기간/등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,1.0,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
23,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,선량한 악당으로 사랑받는 만능배우: 주선태,영원한 관계/오인의 건달/운명의 손/족보/화랑도총 5 편,,2002.12.02.월 ~ 12.06.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"화랑도(1962),운명의 손(1954), 나머지는 1966년 이후",
24,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,다양한 장르 섭렵한 기능주의자: 권영순,국회푸락치/백면검귀/진시황제와 만리장성/표류도/흙총 5 편,,2002.12.09.월 ~ 12.13.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"흙(1960), 진시황제와 만리장성91962), 표류도(1960), 나머지는 1969 이후",
25,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,영화의 고향을 찾아서 특별상영회,고래사냥/김약국의 딸들/바보선언/소나기/씨받이/아름다운 시절/여인잔혹사 물레야 물레야/이어도/축제/화엄경총 10 편,,2003.02.10.월 ~ 02.20.목,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
26,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,정월대보름 영화축제,서편제총 1 편,,2003.02.15.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
27,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,성실한 성격파 배우: 이순재,막차로 온 손님들/어머니/집념/초연/탈출총 5 편,,2003.03.03.월 ~ 03.07.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
28,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,도시적 반공 이데올로기의 벽 허문 <피아골>의 이강천,대좌의 아들/무정/살아야 한다(일명 배꼽 대감)/죽은 자와 산 자/피아골총 5 편,,2003.03.17.월 ~ 03.12.수,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
29,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,일본영화의 황금기 1950년대 거장 15인전,고지라/나니와의 사랑이야기/다시 만날 날까지/당신을 삽니다./막말태양전/무호마츠의 일생/미친 과실/밤의 강/백사전/백치/스물 네 개의 눈동자/애처 이야기/열쇠/오하루의 일생/입맞춤총 15 편,,2003.03.20.목 ~ 03.30.일,,미부착,,개방 가능,공공누리 1유형,,,,,O,,,다시만날때까지 등 모두 1960년 이전 작품,
30,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,외국인을 위한 영화감상회,꿈 Dreams/다정불심 Tender-heartedness/벙어리 삼룡 Deaf Samryong-i/사랑방 손님과 어머니 Mother and a guest in the room of master/연산군(장한사모편) Yeonsangun/이조 여인잔혹사 Women of Yi-Dynasty/지옥화 The Flower in Hell총 7 편,,2003.03.22.토 ~ 06.21.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"사랑방손님과 어머니(1961),연산군(19610,지옥화(1958), 나머지는 모두 1964년이후 ",
31,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,촉망받은 70년대 배우. 마지막 작품은 외다리 연기: 우연정,그대 앞에 다시 서리라/들국화는 피었는데/배따라기/빵간에 산다/행운총 5 편,,2003.04.07.월 ~ 04.11.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
32,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,승화된 영상에의 영원한 노스텔지어 고영남,결사대작전/설국/외인들/제2의 성/코리안 커넥션총 5 편,,2003.04.21.월 ~ 04.25.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
33,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,소시민적 친화력과 곰삭은 연기의 매력: 최불암,달려라 만석아/문/세종대왕/최후의 증인/파계총 5 편,,2003.05.12.월 ~ 05.16.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
