Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,O,O.1,O.2,O.3,O.4,O.5,Unnamed: 19,Unnamed: 20
,[국회도서관] 공공저작물 권리확인 요청 목록 (월간 국회도서관),,,,,,,,,,,,,,,,,,,
,순번,사이트명,게시물 제목,url,발행년,저자,발행처,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
,37,국회전자도서관,楓崖先生集,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1198028970,1812,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,38,국회전자도서관,丹邱墓誌,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1198021061,1812,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,39,국회전자도서관,列聖御製,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1000000047,1814,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,40,국회전자도서관,金陵集. 冊7-12,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1201300004,1815,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,41,국회전자도서관,金陵集. 冊1-3,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1198040379,1815,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,42,국회전자도서관,"朝鮮珍花蕣集, 全",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP3198024888,1815,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,43,국회전자도서관,金陵集. 冊4-6,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1201400010,1815,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,44,국회전자도서관,李子性理書,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1000000211,1816,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,45,국회전자도서관,"桐溪先生年譜, 全",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1198040798,1817,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,46,국회전자도서관,Account of a voyage of discovery to the West Coast of Corea and the Great Loo-Choo : with an appendix,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP2196002528,1818,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,47,국회전자도서관,"新編醫學正傳, 冊1-8",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1198028904,1819,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,48,국회전자도서관,論語諺解. 冊1-4,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1000000506,1820,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,49,국회전자도서관,詩傳大全. 冊1-5,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1000000287,1820,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,50,국회전자도서관,書傳大全. 冊6-10,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1201200002,1820,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,51,국회전자도서관,"書傳諺解, 冊1-5",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1000000277,1820,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,52,국회전자도서관,大學諺解,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1000000489,1820,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,53,국회전자도서관,"周易傳義大全, 冊1-14",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1000000267,1820,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,54,국회전자도서관,論語集註大全. 冊1-7,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1000000503,1820,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,55,국회전자도서관,"孟子集註大全, 冊1-7",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1000000245,1820,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,56,국회전자도서관,"孟子諺解, 冊1-7",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1000000243,1820,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,57,국회전자도서관,"詩經諺解, 冊1-7",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1000000282,1820,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,58,국회전자도서관,書傳大全. 冊1-5,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1000000275,1820,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,59,국회전자도서관,中庸章句大全,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1000000499,1820,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,60,국회전자도서관,大學章句大全,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1000000496,1820,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
