Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,O,O.1,O.2,O.3,O.4,O.5,Unnamed: 21,Unnamed: 22,Unnamed: 23
,대구광역시 수성구청 공공저작물 권리확인 대상 목록,,,,,,,,,,,,,,,,,,,,,,
,순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,첨부파일,등록일,작성자,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고,
,33,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,"약국제제,조제실제제 제조품목신고",,hwp ,2017.07.26,보건행정과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,34,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,안경업소 양도.양수 신고,,hwp ,2017.07.26,보건행정과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,35,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,약국¸ 안전상비의약품 판매업¸ 의약품 판매업(폐업¸ 휴업¸ 업무재개 신고서,,hwp ,2019.08.13,보건행정과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,36,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,농지보전부담금 납부기간 연장신청서,,hwp ,2017.07.24,녹색환경과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,37,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,"농지보전부담금 분할납부(신청서, 변경신청서)",,hwp ,2017.07.24,녹색환경과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,38,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,농지취득자격증명 신청서,,hwp ,2021.12.23,녹색환경과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,39,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,자경증명발급신청서,,hwp ,2017.07.24,녹색환경과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,40,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,농지의 타용도일시사용(허가¸ 변경허가)신청서,,hwp ,2017.07.27,녹색환경과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,41,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,농지전용[□허가□변경허가]신청서,,hwp ,2017.07.24,녹색환경과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,42,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,"농약판매업(등록, 변경등록) 신청서",,hwp ,2021.12.23,녹색환경과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
