Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,O,O.1,O.2,O.3,O.4,O.5,Unnamed: 21,Unnamed: 22
,한국교육개발원 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,,
,순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,작성일/출판일,연구책임자/작성자,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
,37,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,"[KEDI Brief 2019년 19호] 4차 산업혁명, 인구지형 변화를 대비한 대...",,2019-10-22 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,38,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2019년 20호] 한국 교육통계의 발전 경험 전수를 통한 교...,,2019-10-30 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,39,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,"[KEDI Brief 2019년 21호] 'OECD 교육 2030' 프로젝트, 학교교육에서...",,2019-11-11 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,40,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2019년 22호] 지속가능개발목표(SDGs) 달성을 위한 협력...,,2019-11-21 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,41,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020년 1호] 국립대학 거버넌스의 개념 및 구조는 무엇인...,,2020-02-07 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,42,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020년 2호] 초·중등학교 민주시민교육의 현 주소와 정...,,2020-02-17 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,43,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020년 3호] 신입생들의 대학교육을 통한 역량 향상 기대...,,2020-02-20 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,,O,,,,공동 저작물,
,44,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020년 4호] 네 학교 이야기를 통해 본 한국 중학생의 성...,,2020-02-27 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,45,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020년 5호] 국제 비교를 통해서 본 한국 중학교 교사의...,,2020-03-05 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,46,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020년 6호] 온라인 학습분석 기반 맞춤형 교육지원 방안...,,2020-03-19 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
