Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
,순번,대분류,중분류,기관명,사이트명,카테고리,이름,설명,등록일,수량,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고,저작물명,,유형,디지털형태,설명,주제어,언어,제작일,,계약서,저작권자,,공동저작자,저작인접권자,공개유형,저작물성,비보호저작물,업무상저작물,상업적이용허락,저작재산권,,,,,,,공동저작자동의,유효기간,,초상권
,,,,,,,,합계,,3920,,,,,원제목　,대체명,-,-,-,-,-,제작일　,공표일,-,저작권자명,소속,-,-,-,-,-,-,-,복제권,공연권,공중송신권,전시권,배포권,대여권,2차적저작물 작성권,-,저작권 만료일　,계약상 유효기간,-
,2751,영상,기록,국회도서관,국회기록보존소,HOME > 기록정보 콘텐츠 > 구술기록,민주정의당 소신파 의원들의 입지와 1987년 정세,-,2016~2023,1,미부착,제4유형,무,-,민주정의당 소신파 의원들의 입지와 1987년 정세,-,영상,영상,-,정치,한국어,-,2016~2023,-,국회도서관,-,-,-,제4유형,저작물,보호저작물,○,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,2752,영상,기록,국회도서관,국회기록보존소,HOME > 기록정보 콘텐츠 > 구술기록,민주정의당과 제5공화국 정부의 정치이념,-,2016~2023,1,미부착,제4유형,무,-,민주정의당과 제5공화국 정부의 정치이념,-,영상,영상,-,정치,한국어,-,2016~2023,-,국회도서관,-,-,-,제4유형,저작물,보호저작물,○,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,2753,영상,기록,국회도서관,국회기록보존소,HOME > 기록정보 콘텐츠 > 구술기록,제13대 대통령 선거 당시의 활동과 일화,-,2016~2023,1,미부착,제4유형,무,-,제13대 대통령 선거 당시의 활동과 일화,-,영상,영상,-,정치,한국어,-,2016~2023,-,국회도서관,-,-,-,제4유형,저작물,보호저작물,○,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,2754,영상,기록,국회도서관,국회기록보존소,HOME > 기록정보 콘텐츠 > 구술기록,1987년 개정헌법의 정부 법통 문안의 의미와 중요성,-,2016~2023,1,미부착,제4유형,무,-,1987년 개정헌법의 정부 법통 문안의 의미와 중요성,-,영상,영상,-,정치,한국어,-,2016~2023,-,국회도서관,-,-,-,제4유형,저작물,보호저작물,○,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,2755,영상,기록,국회도서관,국회기록보존소,HOME > 기록정보 콘텐츠 > 구술기록,소선거구제 시행과 그 문제점,-,2016~2023,1,미부착,제4유형,무,-,소선거구제 시행과 그 문제점,-,영상,영상,-,정치,한국어,-,2016~2023,-,국회도서관,-,-,-,제4유형,저작물,보호저작물,○,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,2756,영상,기록,국회도서관,국회기록보존소,HOME > 기록정보 콘텐츠 > 구술기록,시작멘트,-,2016~2023,1,미부착,제4유형,무,-,시작멘트,-,영상,영상,-,정치,한국어,-,2016~2023,-,국회도서관,-,-,-,제4유형,저작물,보호저작물,○,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,2757,영상,기록,국회도서관,국회기록보존소,HOME > 기록정보 콘텐츠 > 구술기록,제11대 국회의원 당선의 요인과 민주정의당 활동의 의미,-,2016~2023,1,미부착,제4유형,무,-,제11대 국회의원 당선의 요인과 민주정의당 활동의 의미,-,영상,영상,-,정치,한국어,-,2016~2023,-,국회도서관,-,-,-,제4유형,저작물,보호저작물,○,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,2758,영상,기록,국회도서관,국회기록보존소,HOME > 기록정보 콘텐츠 > 구술기록,시작멘트,-,2016~2023,1,미부착,제4유형,무,-,시작멘트,-,영상,영상,-,정치,한국어,-,2016~2023,-,국회도서관,-,-,-,제4유형,저작물,보호저작물,○,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,2759,영상,기록,국회도서관,국회기록보존소,HOME > 기록정보 콘텐츠 > 구술기록,국가원로자문회의 및 아웅산 사태 관련 일화,-,2016~2023,1,미부착,제4유형,무,-,국가원로자문회의 및 아웅산 사태 관련 일화,-,영상,영상,-,정치,한국어,-,2016~2023,-,국회도서관,-,-,-,제4유형,저작물,보호저작물,○,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,2760,영상,기록,국회도서관,국회기록보존소,HOME > 기록정보 콘텐츠 > 구술기록,시작멘트,-,2016~2023,1,미부착,제4유형,무,-,시작멘트,-,영상,영상,-,정치,한국어,-,2016~2023,-,국회도서관,-,-,-,제4유형,저작물,보호저작물,○,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,2761,영상,기록,국회도서관,국회기록보존소,HOME > 기록정보 콘텐츠 > 구술기록,국회도서관법 발의의 배경과 현 국회도서관의 발전방향,-,2016~2023,1,미부착,제4유형,무,-,국회도서관법 발의의 배경과 현 국회도서관의 발전방향,-,영상,영상,-,정치,한국어,-,2016~2023,-,국회도서관,-,-,-,제4유형,저작물,보호저작물,○,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,2762,영상,기록,국회도서관,국회기록보존소,HOME > 기록정보 콘텐츠 > 구술기록,김일성 주석 사망 및 관련 기록물 기증,-,2016~2023,1,미부착,제4유형,무,-,김일성 주석 사망 및 관련 기록물 기증,-,영상,영상,-,정치,한국어,-,2016~2023,-,국회도서관,-,-,-,제4유형,저작물,보호저작물,○,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,2763,영상,기록,국회도서관,국회기록보존소,HOME > 기록정보 콘텐츠 > 구술기록,시작멘트,-,2016~2023,1,미부착,제4유형,무,-,시작멘트,-,영상,영상,-,정치,한국어,-,2016~2023,-,국회도서관,-,-,-,제4유형,저작물,보호저작물,○,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,2764,영상,기록,국회도서관,국회기록보존소,HOME > 기록정보 콘텐츠 > 구술기록,대통령직 인수위원장 임명 시 상황,-,2016~2023,1,미부착,제4유형,무,-,대통령직 인수위원장 임명 시 상황,-,영상,영상,-,정치,한국어,-,2016~2023,-,국회도서관,-,-,-,제4유형,저작물,보호저작물,○,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,2765,영상,기록,국회도서관,국회기록보존소,HOME > 기록정보 콘텐츠 > 구술기록,국가안전기획부 개혁,-,2016~2023,1,미부착,제4유형,무,-,국가안전기획부 개혁,-,영상,영상,-,정치,한국어,-,2016~2023,-,국회도서관,-,-,-,제4유형,저작물,보호저작물,○,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,2766,영상,기록,국회도서관,국회기록보존소,HOME > 기록정보 콘텐츠 > 구술기록,이종찬 전 국회의원 구술채록,-,2016~2023,1,미부착,제4유형,무,-,이종찬 전 국회의원 구술채록,-,영상,영상,-,정치,한국어,-,2016~2023,-,국회도서관,-,-,-,제4유형,저작물,보호저작물,○,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,2767,영상,기록,국회도서관,국회기록보존소,HOME > 기록정보 콘텐츠 > 구술기록,제13대 국회의원 당선과 정무장관 재임 시기,-,2016~2023,1,미부착,제4유형,무,-,제13대 국회의원 당선과 정무장관 재임 시기,-,영상,영상,-,정치,한국어,-,2016~2023,-,국회도서관,-,-,-,제4유형,저작물,보호저작물,○,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,2768,영상,기록,국회도서관,국회기록보존소,HOME > 기록정보 콘텐츠 > 구술기록,1992년 정계개편 반대와 이후 정치적 입지,-,2016~2023,1,미부착,제4유형,무,-,1992년 정계개편 반대와 이후 정치적 입지,-,영상,영상,-,정치,한국어,-,2016~2023,-,국회도서관,-,-,-,제4유형,저작물,보호저작물,○,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,2769,영상,기록,국회도서관,국회기록보존소,HOME > 기록정보 콘텐츠 > 구술기록,제14대 대통령 민주자유당 후보 경선,-,2016~2023,1,미부착,제4유형,무,-,제14대 대통령 민주자유당 후보 경선,-,영상,영상,-,정치,한국어,-,2016~2023,-,국회도서관,-,-,-,제4유형,저작물,보호저작물,○,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,2770,영상,기록,국회도서관,국회기록보존소,HOME > 기록정보 콘텐츠 > 구술기록,대통령 후보 경선 거부와 새한국당 창당,-,2016~2023,1,미부착,제4유형,무,-,대통령 후보 경선 거부와 새한국당 창당,-,영상,영상,-,정치,한국어,-,2016~2023,-,국회도서관,-,-,-,제4유형,저작물,보호저작물,○,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,2771,영상,기록,국회도서관,국회기록보존소,HOME > 기록정보 콘텐츠 > 구술기록,민주당 입당 과정,-,2016~2023,1,미부착,제4유형,무,-,민주당 입당 과정,-,영상,영상,-,정치,한국어,-,2016~2023,-,국회도서관,-,-,-,제4유형,저작물,보호저작물,○,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,2772,영상,기록,국회도서관,국회기록보존소,HOME > 기록정보 콘텐츠 > 구술기록,김대중 전 대통령과의 교감 및 제15대 국회의원 선거,-,2016~2023,1,미부착,제4유형,무,-,김대중 전 대통령과의 교감 및 제15대 국회의원 선거,-,영상,영상,-,정치,한국어,-,2016~2023,-,국회도서관,-,-,-,제4유형,저작물,보호저작물,○,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,2773,영상,기록,국회도서관,국회기록보존소,HOME > 기록정보 콘텐츠 > 구술기록,DJP연합 추진,-,2016~2023,1,미부착,제4유형,무,-,DJP연합 추진,-,영상,영상,-,정치,한국어,-,2016~2023,-,국회도서관,-,-,-,제4유형,저작물,보호저작물,○,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,2774,영상,기록,국회도서관,국회기록보존소,HOME > 기록정보 콘텐츠 > 구술기록,IMF의 구제금융 조건,-,2016~2023,1,미부착,제4유형,무,-,IMF의 구제금융 조건,-,영상,영상,-,정치,한국어,-,2016~2023,-,국회도서관,-,-,-,제4유형,저작물,보호저작물,○,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,2775,영상,기록,국회도서관,국회기록보존소,HOME > 기록정보 콘텐츠 > 구술기록,제15대 대통령 선거 승리와 감회,-,2016~2023,1,미부착,제4유형,무,-,제15대 대통령 선거 승리와 감회,-,영상,영상,-,정치,한국어,-,2016~2023,-,국회도서관,-,-,-,제4유형,저작물,보호저작물,○,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
,2776,영상,기록,국회도서관,국회기록보존소,HOME > 기록정보 콘텐츠 > 구술기록,대통령직 인수위원장 활동 시기의 일화들,-,2016~2023,1,미부착,제4유형,무,-,대통령직 인수위원장 활동 시기의 일화들,-,영상,영상,-,정치,한국어,-,2016~2023,-,국회도서관,-,-,-,제4유형,저작물,보호저작물,○,상업적이용금지,○,○,○,○,○,○,X,-,-,-,-
