대구광역시 수성구청 권리처리 목록,,,,,,,,,,,,
순번,사이트명,카테고리,이름,설명,등록일,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
44,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 앨범 속 수성구를 찾다,어린이대공원,"사라져가는 수성구의 모습을 기억하고자 수성구의 과거 사진을 공모 (2019)

수성구민들의 오래된 앨범 속에서 찾은 보석같은 사진들을 함께 들여다보자.",1997,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
45,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 앨범 속 수성구를 찾다,수성못,"사라져가는 수성구의 모습을 기억하고자 수성구의 과거 사진을 공모 (2019)

수성구민들의 오래된 앨범 속에서 찾은 보석같은 사진들을 함께 들여다보자.",1997,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
46,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 앨범 속 수성구를 찾다,수성랜드,"사라져가는 수성구의 모습을 기억하고자 수성구의 과거 사진을 공모 (2019)

수성구민들의 오래된 앨범 속에서 찾은 보석같은 사진들을 함께 들여다보자.",1991,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
47,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 앨범 속 수성구를 찾다,수성못에서,"사라져가는 수성구의 모습을 기억하고자 수성구의 과거 사진을 공모 (2019)

수성구민들의 오래된 앨범 속에서 찾은 보석같은 사진들을 함께 들여다보자.",1995,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
48,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 앨범 속 수성구를 찾다,수성관광호텔,"사라져가는 수성구의 모습을 기억하고자 수성구의 과거 사진을 공모 (2019)

수성구민들의 오래된 앨범 속에서 찾은 보석같은 사진들을 함께 들여다보자.",1987,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
49,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 앨범 속 수성구를 찾다,수성못 유람선 탑승을 기다리며,"사라져가는 수성구의 모습을 기억하고자 수성구의 과거 사진을 공모 (2019)

수성구민들의 오래된 앨범 속에서 찾은 보석같은 사진들을 함께 들여다보자.",1984,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
50,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 앨범 속 수성구를 찾다,어린이회관,"사라져가는 수성구의 모습을 기억하고자 수성구의 과거 사진을 공모 (2019)

수성구민들의 오래된 앨범 속에서 찾은 보석같은 사진들을 함께 들여다보자.",1986,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
51,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 앨범 속 수성구를 찾다,정화여고 후문,"사라져가는 수성구의 모습을 기억하고자 수성구의 과거 사진을 공모 (2019)

수성구민들의 오래된 앨범 속에서 찾은 보석같은 사진들을 함께 들여다보자.",1980,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
52,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 앨범 속 수성구를 찾다,중동교와 상동교 사이에서,"사라져가는 수성구의 모습을 기억하고자 수성구의 과거 사진을 공모 (2019)

수성구민들의 오래된 앨범 속에서 찾은 보석같은 사진들을 함께 들여다보자.",1981,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
53,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 앨범 속 수성구를 찾다,겨울 수성못,"사라져가는 수성구의 모습을 기억하고자 수성구의 과거 사진을 공모 (2019)

수성구민들의 오래된 앨범 속에서 찾은 보석같은 사진들을 함께 들여다보자.",1981,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
54,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 앨범 속 수성구를 찾다,어린이회관 88올림픽 기념조형물 앞,"사라져가는 수성구의 모습을 기억하고자 수성구의 과거 사진을 공모 (2019)

수성구민들의 오래된 앨범 속에서 찾은 보석같은 사진들을 함께 들여다보자.",1988,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
