국립극장 권리처리 목록,,,,,,,,,,,,
순번,사이트명,카테고리,이름,설명,등록일,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
74,별별스테이지,홍보물제작,국립창극단 <정오의 판소리> 홍보인쇄물 제작,T1101055968300,2011-01-14,0,0,1,미부착,개방불가,없음,
75,별별스테이지,홍보물제작,2011년 어린이 우수공연축제 홍보인쇄물 제작 ,T1012054431800,2010-12-20,0,0,1,미부착,개방불가,없음,
76,별별스테이지,홍보물제작,2010 국립극장 겨울축제 <희망의 노래> 홍보인쇄물 제작,T1012053759000,2010-12-13,0,0,1,미부착,개방불가,없음,
77,별별스테이지,홍보물제작,국립창극단 <칸타타 토끼이야기> 시연회 홍보인쇄물 제작,T1011052781000,2010-11-29,0,0,1,미부착,개방불가,없음,
78,별별스테이지,홍보물제작,국립무용단 기획공연 <송범 무용전> 홍보인쇄물 제작,T1011051783600,2010-11-15,0,0,1,미부착,개방불가,없음,
79,별별스테이지,홍보물제작,G20기념 특별기획공연 <청> 홍보인쇄물 제작,T1011051444300,2010-11-08,0,0,1,미부착,개방불가,없음,
80,별별스테이지,홍보물제작,2010 서울아트마켓PAMS 홍보물 제작,2010100995000,2010-10-08,0,0,1,미부착,개방불가,없음,
81,별별스테이지,홍보물제작,국립창극단 <정오의 판소리> 홍보인쇄물 제작,T1010049699200,2010-10-01,0,0,1,미부착,개방불가,없음,
82,별별스테이지,홍보물제작,국립극장 가을축제 추석난장 홍보인쇄물 제작,T1009048995400,2010-09-13,0,0,1,미부착,개방불가,없음,
83,별별스테이지,홍보물제작,국립국악관현악단 제53회 정기연주회 <어부사시사> 홍보인쇄물 제작,T1009048951000,2010-09-10,0,0,1,미부착,개방불가,없음,
84,별별스테이지,홍보물제작,국립무용단 <소울 해바라기> 홍보인쇄물 제작,T1009048573700,2010-09-01,0,0,1,미부착,개방불가,없음,
85,별별스테이지,홍보물제작,국립극장 여우락페스티벌 홍보인쇄물 제작,2010080476501,2010-08-19,0,0,1,미부착,개방불가,없음,
86,별별스테이지,홍보물제작,2010 열대야페스티벌 홍보인쇄물 제작,T1007047362900,2010-07-30,0,0,1,미부착,개방불가,없음,
87,별별스테이지,홍보물제작,관현악단 <젊은 예인을 위한 협주곡의 밤> 홍보인쇄물 제작,T1006044569900,2010-06-04,0,0,1,미부착,개방불가,없음,
88,별별스테이지,홍보물제작,국립무용단 상설공연 <춤 춘향> 홍보인쇄물 제작,T1005043579000,2010-05-13,0,0,1,미부착,개방불가,없음,
89,별별스테이지,홍보물제작,국립국악관현악단 <엄마와 함께하는 국악보따리> 홍보인쇄물 제작,T1004042906800,2010-04-26,0,0,1,미부착,개방불가,없음,
