국립대전현충원 공공저작물 권리처리 대상 목록,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시물 제목,설명,날짜,영상,사진,문서,기존 공공누리 유형,최종 유형,계약서 유무,비고
46,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제54회 현충일 참배 (09. 6. 5.),,2009-06-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
47,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제54회 현충일 참배 (09. 6. 5.),,2009-06-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
48,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제54회 현충일 참배 (09. 6. 5.),,2009-06-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
49,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제54회 현충일 참배 (09. 6. 5.),,2009-06-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
50,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제54회 현충일 참배 (09. 6. 5.),,2009-06-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
51,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제54회 현충일 참배 (09. 6. 5.),,2009-06-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
52,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제54회 현충일 참배 (09. 6. 5.),,2009-06-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
53,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제54회 현충일 참배 (09. 6. 5.),,2009-06-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
54,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제54회 현충일 참배 (09. 6. 5.),,2009-06-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
55,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제54회 현충일 참배 (09. 6. 6.),,2009-06-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
56,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제54회 현충일 참배 (09. 6. 6.),,2009-06-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
57,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제54회 현충일 참배 (09. 6. 6.),,2009-06-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
58,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제54회 현충일 참배 (09. 6. 6.),,2009-06-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
59,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제54회 현충일 추념식 (09. 6. 6.),,2009-06-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
60,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제54회 현충일 추념식 (09. 6. 6.),,2009-06-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
61,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제54회 현충일 추념식 (09. 6. 6.),,2009-06-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
62,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제54회 현충일 추념식 (09. 6. 6.),,2009-06-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
63,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제54회 현충일 추념식 (09. 6. 6.),,2009-06-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
64,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,"제59주년 6,25 현충탑 참배 (09. 6. 25.)",,2009-06-25 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
65,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,"제59주년 6,25 현충탑 참배 (09. 6. 25.)",,2009-06-25 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
66,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,숭고한 보훈정신 함양을 위한 실천 결의대회 (09. 7. 1.),,2009-07-02 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
67,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제18대 정계웅 국립대전현충원장 취임참배 (09. 7. 9.),,2009-07-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
68,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,대전광역시 인재개발원 참배 (09. 7. 14.),,2009-07-14 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
69,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,숭고한 보훈정신 함양을 위한 실천 결의대회 (09. 8. 3.),,2009-08-03 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
70,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,국가보훈처 차장 이종정 현충탑 참배 (09. 8. 3.),,2009-08-04 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
71,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,"대전고검 검사장 채동욱, 대전지검 검사장 한명관 취임참배 (09. 8. 13.)",,2009-08-13 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
72,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,대전지방보훈청장 이용원 취임참배 (09. 8. 14.),,2009-08-15 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
73,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제64주년 광복절 참배 (09. 8. 15.),,2009-08-15 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
74,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제64주년 광복절 참배 (09. 8. 15.),,2009-08-15 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
75,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제64주년 광복절 참배 (09. 8. 15.),,2009-08-15 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
