한국교육개발원 권리처리 목록,,,,,,,,,,,,
순번,사이트명,카테고리,자료명,저자,발행년,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
115,사이버교과서박물관,도서별,普通學校 修身書 卷四,朝鮮總督府 編纂,1915,0,0,1,미부착,제1유형,저작권 만료,
116,사이버교과서박물관,도서별,普通學校 農業書 卷一,朝鮮總督府 編纂,1915,0,0,1,미부착,제1유형,저작권 만료,
117,사이버교과서박물관,도서별,普通學校 習字帖 卷四,朝鮮總督府 編纂,1915,0,0,1,미부착,제1유형,저작권 만료,
118,사이버교과서박물관,도서별,普通學校 朝鮮語及漢文讀本 卷二,朝鮮總督府 編纂,1915,0,0,1,미부착,제1유형,저작권 만료,
119,사이버교과서박물관,도서별,普通學校 朝鮮語及漢文讀本 卷一,朝鮮總督府 編纂,1915,0,0,1,미부착,제1유형,저작권 만료,
120,사이버교과서박물관,도서별,農業理科敎科書,朝鮮總督府 編纂,1915,0,0,1,미부착,제1유형,저작권 만료,
121,사이버교과서박물관,도서별,時文讀本 ,崔南善 撰,1916,0,0,1,미부착,제1유형,저작권 만료,
122,사이버교과서박물관,도서별,修身書 卷三 : 普通學校 敎師用,朝鮮總督府 編纂,1916,0,0,1,미부착,제1유형,저작권 만료,
123,사이버교과서박물관,도서별,算術書 卷四 : 普通學校 敎師用,朝鮮總督府 編纂,1916,0,0,1,미부착,제1유형,저작권 만료,
124,사이버교과서박물관,도서별,理科書 卷一 : 普通學校 敎師用,朝鮮總督府 編纂,1916,0,0,1,미부착,제1유형,저작권 만료,
125,사이버교과서박물관,도서별,高等 修身書 卷二,嘉納治五郞 著,1917,0,0,1,미부착,제1유형,저작권 만료,
126,사이버교과서박물관,도서별,原本備旨 大學集註 全,朝鮮書籍業組合編輯部 編纂,1917,0,0,1,미부착,제1유형,저작권 만료,
127,사이버교과서박물관,도서별,箋註四家詩 ,吳世昌 著,1917,0,0,1,미부착,제1유형,저작권 만료,
128,사이버교과서박물관,도서별,法制經濟敎科書,朝鮮總督府 編纂,1917,0,0,1,미부착,제1유형,저작권 만료,
129,사이버교과서박물관,도서별,普通學校 理科書 全 第四學年兒童用,朝鮮總督府 著,1917,0,0,1,미부착,제1유형,저작권 만료,
130,사이버교과서박물관,도서별,高等 修身書 卷一,嘉納治五郞 著,1917,0,0,1,미부착,제1유형,저작권 만료,
131,사이버교과서박물관,도서별,敎育科敎科書 敎育學 全,乙竹岩造 著,1917,0,0,1,미부착,제1유형,저작권 만료,
132,사이버교과서박물관,도서별,高等 修身書 卷一,嘉納治五郞 著,1917,0,0,1,미부착,제1유형,저작권 만료,
133,사이버교과서박물관,도서별,高等 修身書 卷二,嘉納治五郞 著,1917,0,0,1,미부착,제1유형,저작권 만료,
134,사이버교과서박물관,도서별,普通學校 算術書 第二學年 生徒用,朝鮮總督府 編纂,1918,0,0,1,미부착,제1유형,저작권 만료,
135,사이버교과서박물관,도서별,高等普通學校 修身敎科書 卷一,朝鮮總督府 編,1918,0,0,1,미부착,제1유형,저작권 만료,
136,사이버교과서박물관,도서별,一本口語法及文法敎科書,朝鮮總督府 編纂,1918,0,0,1,미부착,제1유형,저작권 만료,
137,사이버교과서박물관,도서별,尋常小學理科書 第五學年兒童用,文部省 ,1918,0,0,1,미부착,제1유형,저작권 만료,
138,사이버교과서박물관,도서별,尋常小學地理書 卷一,文部省 著,1918,0,0,1,미부착,제1유형,저작권 만료,
139,사이버교과서박물관,도서별,蒙學指南,唯一書館編輯部 著述,1919,0,0,1,미부착,제1유형,저작권 만료,
140,사이버교과서박물관,도서별,高等普通學校 修身敎科書 卷二,朝鮮總督府 編,1919,0,0,1,미부착,제1유형,저작권 만료,
141,사이버교과서박물관,도서별,普通學校 算術書 第三學年,朝鮮總督府 著,1919,0,0,1,미부착,제1유형,저작권 만료,
142,사이버교과서박물관,도서별,尋常小學理科書 第六學年兒童用,文部省 著,1919,0,0,1,미부착,제1유형,저작권 만료,
143,사이버교과서박물관,도서별,實用農業敎科書 ,朝鮮總督府 編纂,1919,0,0,1,미부착,제1유형,저작권 만료,
144,사이버교과서박물관,도서별,尋常小學地理書 卷二,文部省 著,1919,0,0,1,미부착,제1유형,저작권 만료,
145,사이버교과서박물관,도서별,普通學校 算術書 第四學年,朝鮮總督府 編纂,1920,0,0,1,미부착,제1유형,저작권 만료,
146,사이버교과서박물관,도서별,尋常小學地理書補充敎材,朝鮮總督府 編纂,1920,0,0,1,미부착,제1유형,저작권 만료,
147,사이버교과서박물관,도서별,尋常小學 算術書 第五學年 : 敎師用,文部省 ,1920,0,0,1,미부착,제1유형,저작권 만료,
148,사이버교과서박물관,도서별,普通學校 圖畵帖 第三學年 生徒用,朝鮮總督府 著,1921,0,0,1,미부착,제1유형,저작권 만료,
149,사이버교과서박물관,도서별,中等 新讀本 卷九,藤村作 著,1921,0,0,1,미부착,제1유형,저작권 만료,
150,사이버교과서박물관,도서별,普通學校 圖畵帖 第二學年 生徒用,朝鮮總督府 著,1921,0,0,1,미부착,제1유형,저작권 만료,
151,사이버교과서박물관,도서별,圖畵帖 第一學年 : 普通學校 敎師用,朝鮮總督府 著,1921,0,0,1,미부착,제1유형,저작권 만료,
152,사이버교과서박물관,도서별,尋常小學理科書 第四學年兒童用,文部省 著,1921,0,0,1,미부착,제1유형,저작권 만료,
153,사이버교과서박물관,도서별,普通學校 圖畵帖 第五學年,朝鮮總督府 著,1921,0,0,1,미부착,제1유형,저작권 만료,
154,사이버교과서박물관,도서별,普通學校 圖畵帖 第二學年,朝鮮總督府 著,1921,0,0,1,미부착,제1유형,저작권 만료,
155,사이버교과서박물관,도서별,普通學校 圖畵帖 第三學年,朝鮮總督府 著,1921,0,0,1,미부착,제1유형,저작권 만료,
156,사이버교과서박물관,도서별,普通學校 圖畵帖 第四學年,朝鮮總督府 著,1921,0,0,1,미부착,제1유형,저작권 만료,
157,사이버교과서박물관,도서별,尋常小學 算術書 第六學年 : 敎師用,文部省 著,1921,0,0,1,미부착,제1유형,저작권 만료,
158,사이버교과서박물관,도서별,普通學校 修身書 卷二,朝鮮總督府 著,1922,0,0,1,미부착,제1유형,저작권 만료,
159,사이버교과서박물관,도서별,개정한 한글 맞춤법 통일안,한글학회 지음,1922,0,0,1,미부착,제1유형,저작권 만료,
160,사이버교과서박물관,도서별,한글 맞춤법 통일안,한글학회 지음,1922,0,0,1,미부착,제1유형,저작권 만료,
161,사이버교과서박물관,도서별,尋常小學國史補流敎材敎授參考書 卷二,朝鮮總督府 著,1922,0,0,1,미부착,제1유형,저작권 만료,
162,사이버교과서박물관,도서별,普通學校 國史 上卷 兒童用,朝鮮總督府 著,1922,0,0,1,미부착,제1유형,저작권 만료,
163,사이버교과서박물관,도서별,尋常小學 國語書キ方手本 第五學年用下,文部省 著,1922,0,0,1,미부착,제1유형,저작권 만료,
164,사이버교과서박물관,도서별,新編 高等 國語讀本 卷六,朝鮮總督府 著,1922,0,0,1,미부착,제1유형,저작권 만료,
165,사이버교과서박물관,도서별,中學敎科 最新化學 上卷,大幸勇吉 著,1922,0,0,1,미부착,제1유형,저작권 만료,
166,사이버교과서박물관,도서별,高等普通學校 修身書 卷三,朝鮮總督府 著,1923,0,0,1,미부착,제1유형,저작권 만료,
167,사이버교과서박물관,도서별,算術書 : 普通學校 敎師用 第一學年,朝鮮總督府 著,1923,0,0,1,미부착,제1유형,저작권 만료,
168,사이버교과서박물관,도서별,普通學校 朝鮮語讀本 卷三,朝鮮總督府 著,1923,0,0,1,미부착,제1유형,저작권 만료,
169,사이버교과서박물관,도서별,普通學校 漢文讀本 第五學年用,朝鮮總督府 著,1923,0,0,1,미부착,제1유형,저작권 만료,
170,사이버교과서박물관,도서별,普通學校 國語讀本 卷二,朝鮮總督府 著,1923,0,0,1,미부착,제1유형,저작권 만료,
171,사이버교과서박물관,도서별,綜合 敎育敎科書 第一卷,帝國地方行政學會 編,1923,0,0,1,미부착,제1유형,저작권 만료,
172,사이버교과서박물관,도서별,普通學校 算術書 第三學年 兒童用,朝鮮總督府 著,1923,0,0,1,미부착,제1유형,저작권 만료,
173,사이버교과서박물관,도서별,普通學校 理科書 兒童用 卷一,朝鮮總督府 著,1923,0,0,1,미부착,제1유형,저작권 만료,
174,사이버교과서박물관,도서별,高等普通學校 修身書 卷一,朝鮮總督府 著,1923,0,0,1,미부착,제1유형,저작권 만료,
175,사이버교과서박물관,도서별,朝鮮語文經緯,權悳奎 著,1923,0,0,1,미부착,제1유형,저작권 만료,
176,사이버교과서박물관,도서별,普通學校 國史 兒童用 上卷,朝鮮總督府 著,1923,0,0,1,미부착,제1유형,저작권 만료,
177,사이버교과서박물관,도서별,普通學校 漢文讀本 第六學年用,朝鮮總督府 著,1923,0,0,1,미부착,제1유형,저작권 만료,
178,사이버교과서박물관,도서별,普通學校 修身書 卷二,朝鮮總督府 著,1923,0,0,1,미부착,제1유형,저작권 만료,
179,사이버교과서박물관,도서별,高等普通學校 修身書 卷二,朝鮮總督府 著,1923,0,0,1,미부착,제1유형,저작권 만료,
180,사이버교과서박물관,도서별,普通學校 朝鮮語讀本 券二,朝鮮總督府 著,1923,0,0,1,미부착,제1유형,저작권 만료,
181,사이버교과서박물관,도서별,普通學校 國語讀本 卷六,朝鮮總督府 著,1923,0,0,1,미부착,제1유형,저작권 만료,
182,사이버교과서박물관,도서별,普通學校 國語讀本 卷五,朝鮮總督府 著,1923,0,0,1,미부착,제1유형,저작권 만료,
183,사이버교과서박물관,도서별,朝鮮語文經緯,權悳奎 著 ,1923,0,0,1,미부착,제1유형,저작권 만료,
184,사이버교과서박물관,도서별,綜合敎育敎科書 三卷 ,帝國地方行政學會 編,1923,0,0,1,미부착,제1유형,저작권 만료,
185,사이버교과서박물관,도서별,普通學校地理補充敎材 全,朝鮮總督府 著,1923,0,0,1,미부착,제1유형,저작권 만료,
186,사이버교과서박물관,도서별,普通學校 修身自習書 卷三,以文堂編輯部 編,1923,0,0,1,미부착,제1유형,저작권 만료,
187,사이버교과서박물관,도서별,算術書 第二學年 : 普通學校 敎師用,朝鮮總督府 著,1923,0,0,1,미부착,제1유형,저작권 만료,
188,사이버교과서박물관,도서별,算術書 第一學年 : 普通學校 敎師用,朝鮮總督府 著,1923,0,0,1,미부착,제1유형,저작권 만료,
189,사이버교과서박물관,도서별,普通學校 理科書 全 第四學年兒童用 ,朝鮮總督府 著,1923,0,0,1,미부착,제1유형,저작권 만료,
190,사이버교과서박물관,도서별,普通作物敎科書 全 ,朝鮮總督府 著,1924,0,0,1,미부착,제1유형,저작권 만료,
191,사이버교과서박물관,도서별,普通學校 書キ方手本 第三學年用下,朝鮮總督府 著,1924,0,0,1,미부착,제1유형,저작권 만료,
192,사이버교과서박물관,도서별,普通學校 書キ方手本 第二學年用下,朝鮮總督府 著,1924,0,0,1,미부착,제1유형,저작권 만료,
193,사이버교과서박물관,도서별,高等普通學校 修身書 卷五,朝鮮總督府 著,1924,0,0,1,미부착,제1유형,저작권 만료,
194,사이버교과서박물관,도서별,特用作物敎科書 全,朝鮮總督府 著,1924,0,0,1,미부착,제1유형,저작권 만료,
