한국지역정보개발원(KLID) 권리처리 목록,,,,,,,,,,,,
순번,사이트명,카테고리 진입과정,이름,설명,등록일,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
60,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,지방자치단체 의사결정지원라인 관심데이터 발굴 및 활용방안 연구,,2017-04-18 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
61,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,증강현실(AR) 기반의 현장행정 시범서비스 모델 연구,,2017-12-12 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
62,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,빅데이터 분석을 위한 민간데이터의 효율적 활용 방안 연구,,2017-12-12 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
63,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,인공지능 기술 활성화를 위한 정보화사업 제도 개선 연구,,2018-01-12 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
64,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,지방세 전자송달 활성화를 위한 제도 개선 방안 연구,,2018-01-17 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
65,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,지방데이터 자치권 강화 방안 연구,,2018-01-17 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
66,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,지방자치단체 사물인터넷 전용망 활용 방안 연구,,2018-10-30 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
67,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,지방자치단체 정보화 촉진 및 지원에 관한 법률 제정 방안 연구,,2018-10-30 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
68,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,디지털 기술을 활용한 주민체감형 지역문제 해결 방안,,2019-03-11 00:00:00,0,0,1,미부착,제4유형,이용허락동의서 작성,
69,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,지방자치단체 정보화 수준측정 추진 방안 연구(1),,2019-03-11 00:00:00,0,0,1,미부착,개방불가,없음,
70,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,해외사례 분석을 통한 민관협력형 ICT 공공서비스 도입방안 연구,,2019-03-11 00:00:00,0,0,1,미부착,개방불가,없음,
71,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,주민주도 지역문제 해결조직 구성 및 운영 방안 연구,,2020-03-10 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
72,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,스스로해결단 구성·운영 길잡이,,2020-03-10 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
73,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,제37회 지역정보화 연구과제 발표대회 발표자료 사전공개,,2020-12-15 00:00:00,0,0,1,미부착,제1유형,국가/지자체 저작물,
74,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,스마트시티의 데이터 활용 사례 연구,,2021-02-17 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
75,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,디지털 지역혁신을 위한 지방자치단체 ICT 조직 개선 방안 연구,,2021-03-03 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
76,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,데이터 3법 개정에 따른 지방자치단체 데이터 분석 추진체계 개선방안 연구,,2021-03-03 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
77,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,디지털 지역혁신 활성화를 위한 지방자치단체 제도 정비 연구,,2021-03-03 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
78,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,지자체 클라우드 기반 스마트 행정업무 전환 추진방안 연구,,2021-03-05 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
79,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,제38회 지역정보화 연구과제 발표대회(9.29) 발표자료 사전공개,,2021-09-17 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
80,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,[KLID] 정책과제_민간 플랫폼을 활용한 주민 정책참여 강화방안,,2021-12-27 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
81,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,[KLID] 정책과제_메타버스를 이용한 지방행정 서비스 개선방안,,2021-12-27 00:00:00,0,0,1,미부착,개방불가,없음,
82,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,"[KLID] 정책과제_일본의 디지털 사회 형성을 위한 사령탑, 디지털청의 발족",,2021-12-27 00:00:00,0,0,1,미부착,제4유형,이용허락동의서 작성,
83,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,[KLID] 정책과제_지방자치단체 메타버스 추진사례 및 활용 전제조건,,2021-12-30 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
84,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,제39회 지역정보화 연구과제 발표대회(9.26~9.27) 발표자료 사전공개,,2022-09-20 00:00:00,0,0,1,미부착,제1유형,국가/지자체 저작물,
85,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,데이터 기반행정 활성화 정책 및 참고 조례(안) 연구,,2022-01-27 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
