순번,대분류,중분류,기관명,사이트명,카테고리,이름,설명,등록일,수량,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고,저작물명,,유형,디지털형태,설명,주제어,언어,제작일,,계약서,저작권자,,공동저작자,저작인접권자,공개유형,저작물성,비보호저작물,업무상저작물,상업적이용허락,저작재산권,,,,,,,공동저작자동의,유효기간,,초상권
29,영상,관광/축제,국제방송교류재단,아리랑국제방송,TV,Ep.1 DRIPPIN at Yeosu,DanstarGram On The Road,2023-08-04 00:00:00,1,미부착,제4유형,무,,Ep.1 DRIPPIN at Yeosu,,영상,영상,,방송,영어/한국어,,2023-08-04 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-08-04 00:00:00,,
30,영상,기록,국제방송교류재단,아리랑국제방송,TV,GENERAL ELECTION 2024 00:00,GENERAL ELECTION 2024,2024-04-11 00:00:00,1,미부착,제1유형,무,,GENERAL ELECTION 2024 00:00,,영상,영상,,방송,영어/한국어,,2024-04-11 00:00:00,,국제방송교류재단,,,,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,,2094-04-11 00:00:00,,
31,영상,기록,국제방송교류재단,아리랑국제방송,TV,GENERAL ELECTION 2024 18:30,GENERAL ELECTION 2024,2024-04-10 00:00:00,1,미부착,제1유형,무,,GENERAL ELECTION 2024 18:30,,영상,영상,,방송,영어/한국어,,2024-04-10 00:00:00,,국제방송교류재단,,,,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,,2094-04-10 00:00:00,,
32,영상,기록,국제방송교류재단,아리랑국제방송,TV,GENERAL ELECTION 2024 18:00,GENERAL ELECTION 2024,2024-04-10 00:00:00,1,미부착,제1유형,무,,GENERAL ELECTION 2024 18:00,,영상,영상,,방송,영어/한국어,,2024-04-10 00:00:00,,국제방송교류재단,,,,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,,2094-04-10 00:00:00,,
33,영상,기록,국제방송교류재단,아리랑국제방송,TV,GENERAL ELECTION 2024 12:00,GENERAL ELECTION 2024,2024-04-10 00:00:00,1,미부착,제1유형,무,,GENERAL ELECTION 2024 12:00,,영상,영상,,방송,영어/한국어,,2024-04-10 00:00:00,,국제방송교류재단,,,,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,,2094-04-10 00:00:00,,
34,영상,예술,국제방송교류재단,아리랑국제방송,TV,Ep.342 Park ki-young,I'm Live,2024-06-12 00:00:00,1,미부착,제4유형,무,,Ep.342 Park ki-young,,영상,영상,,방송,영어/한국어,,2024-06-12 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2094-06-12 00:00:00,,
35,영상,예술,국제방송교류재단,아리랑국제방송,TV,Ep.341 Stella Jang,I'm Live,2024-06-05 00:00:00,1,미부착,제4유형,무,,Ep.341 Stella Jang,,영상,영상,,방송,영어/한국어,,2024-06-05 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2094-06-05 00:00:00,,
36,영상,예술,국제방송교류재단,아리랑국제방송,TV,Ep.340 MRCH,I'm Live,2024-05-29 00:00:00,1,미부착,제4유형,무,,Ep.340 MRCH,,영상,영상,,방송,영어/한국어,,2024-05-29 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2094-05-29 00:00:00,,
37,영상,예술,국제방송교류재단,아리랑국제방송,TV,Ep.339 Izykite,I'm Live,2024-05-22 00:00:00,1,미부착,제4유형,무,,Ep.339 Izykite,,영상,영상,,방송,영어/한국어,,2024-05-22 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2094-05-22 00:00:00,,
38,영상,예술,국제방송교류재단,아리랑국제방송,TV,Ep.338 Kim Feelsun,I'm Live,2024-05-15 00:00:00,1,미부착,제4유형,무,,Ep.338 Kim Feelsun,,영상,영상,,방송,영어/한국어,,2024-05-15 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2094-05-15 00:00:00,,
39,영상,예술,국제방송교류재단,아리랑국제방송,TV,Ep.337 SURL,I'm Live,2024-05-08 00:00:00,1,미부착,제4유형,무,,Ep.337 SURL,,영상,영상,,방송,영어/한국어,,2024-05-08 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2094-05-08 00:00:00,,
