순번,대분류,중분류,기관명,사이트명,카테고리,이름,설명,등록일,수량,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고,저작물명,,유형,디지털형태,설명,주제어,언어,제작일,,계약서,저작권자,,공동저작자,저작인접권자,공개유형,저작물성,비보호저작물,업무상저작물,상업적이용허락,저작재산권,,,,,,,공동저작자동의,유효기간,,초상권
26,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 명예박사 학위 취득,2012이승만2차_2214.jpg,1954,1,비표출,제4유형,유,,이승만 대통령 명예박사 학위 취득,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
27,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 명예박사 학위 취득,2012이승만2차_2215.jpg,1954,1,비표출,제4유형,유,,이승만 대통령 명예박사 학위 취득,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
28,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 필라델피아 방문시 의장대 사열,2012이승만2차_2216.jpg,1954,1,비표출,제4유형,유,,이승만 대통령 필라델피아 방문시 의장대 사열,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
29,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,방미 일정 중 담화를 나누는 이승만 대통령,2012이승만2차_2217.jpg,1954,1,비표출,제4유형,유,,방미 일정 중 담화를 나누는 이승만 대통령,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
30,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 미국 방문 선물,2012이승만2차_2218.jpg,1954,1,비표출,제4유형,유,,이승만 대통령 미국 방문 선물,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
31,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 필라델피아 방문시 의장대 사열,2012이승만2차_2219.jpg,1954,1,비표출,제4유형,유,,이승만 대통령 필라델피아 방문시 의장대 사열,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
32,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,방미 일정 중 국민의례하는 이승만 대통령 내외,2012이승만2차_2220.jpg,1954,1,비표출,제4유형,유,,방미 일정 중 국민의례하는 이승만 대통령 내외,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
33,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,미국 관계자와 담화를 나누는 이승만 대통령,2012이승만2차_2221.jpg,1954,1,비표출,제4유형,유,,미국 관계자와 담화를 나누는 이승만 대통령,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
34,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 미국 방문 연설,2012이승만2차_2222.jpg,1954,1,비표출,제4유형,유,,이승만 대통령 미국 방문 연설,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
35,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,악수하는 이승만 대통령,2012이승만2차_2223.jpg,1954,1,비표출,제4유형,유,,악수하는 이승만 대통령,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
36,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 닉슨 부통령 접견,2012이승만2차_2224.jpg,1954,1,비표출,제4유형,유,,이승만 대통령 닉슨 부통령 접견,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
37,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 미국 방문 연설,2012이승만2차_2225.jpg,1954,1,비표출,제4유형,유,,이승만 대통령 미국 방문 연설,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
38,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,프란체스카 여사 미국 방문,2012이승만2차_2226.jpg,1954,1,비표출,제4유형,유,,프란체스카 여사 미국 방문,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
39,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,안내사항을 전달받는 이승만 대통령,2012이승만2차_2227.jpg,1954,1,비표출,제4유형,유,,안내사항을 전달받는 이승만 대통령,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
40,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 내외 및 주영한 영사 내외 기념촬영,2012이승만2차_2228.jpg,1954,1,비표출,제4유형,유,,이승만 대통령 내외 및 주영한 영사 내외 기념촬영,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
41,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 계룡산 갑사 시찰,2012이승만2차_2229.jpg,1957,1,비표출,제4유형,유,,이승만 대통령 계룡산 갑사 시찰,,사진,이미지,,역사,한국어,1957,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2027,,
42,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 갑사 방문 기념 식수,2012이승만2차_2230.jpg,1957,1,비표출,제4유형,유,,이승만 대통령 갑사 방문 기념 식수,,사진,이미지,,역사,한국어,1957,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2027,,
43,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 계룡산 갑사 시찰,2012이승만2차_2231.jpg,1957,1,비표출,제4유형,유,,이승만 대통령 계룡산 갑사 시찰,,사진,이미지,,역사,한국어,1957,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2027,,
44,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,계룡산 갑사 시찰,2012이승만2차_2232.jpg,1957,1,비표출,제4유형,유,,계룡산 갑사 시찰,,사진,이미지,,역사,한국어,1957,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2027,,
