국립해양문화재연구소 권리처리 목록,,,,,,,,,,,,
순번,사이트명,카테고리,이름,설명,등록일,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
85,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
86,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
87,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
88,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
89,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
90,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
91,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
92,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
93,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
94,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
95,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
96,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
97,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
98,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
99,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
100,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
101,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,대나무 반,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
102,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,대나무 색대,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
103,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,대나무 참빗(복제),,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
104,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,대부도 2호선,,,0,1,0,제4유형,제1유형,업무상저작물,
105,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,대부소호,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
106,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도가니,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
107,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도가니,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
108,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도가니,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
109,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도가니,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
110,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 네 귀 달린 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
111,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 매병,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
112,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 모란무늬 장고편,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
113,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 병,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
114,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 병,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
115,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 병,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
116,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 병,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
117,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 병,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
118,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 병,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
119,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 병,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
120,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 병,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
121,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 병,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
122,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 병,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
